"n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
100,200,"n=100, p=200","ar1_rho_0.5","original","mean_rmse",100,4.44537989316355,0.412194065943158,0.0412194065943158,4.36458985623869,4.52616993008841
100,200,"n=100, p=200","ar1_rho_0.5","original","f1_lasso",100,0.542,0.090375199959263,0.0090375199959263,0.524286460807984,0.559713539192016
100,200,"n=100, p=200","ar1_rho_0.5","original","f1_lar",100,0.542,0.090375199959263,0.0090375199959263,0.524286460807984,0.559713539192016
100,200,"n=100, p=200","ar1_rho_0.5","original","f1_glmnet",100,0.539038929117772,0.0884737143482228,0.00884737143482228,0.52169808110552,0.556379777130024
100,200,"n=100, p=200","ar1_rho_0.5","original","rmse_lasso",100,4.44164456853418,0.412437595479061,0.0412437595479061,4.36080679982029,4.52248233724808
100,200,"n=100, p=200","ar1_rho_0.5","original","rmse_lar",100,4.44293146877317,0.412724021009778,0.0412724021009778,4.36203756065526,4.52382537689109
100,200,"n=100, p=200","ar1_rho_0.5","original","rmse_glmnet",100,4.45156364218329,0.412133317872823,0.0412133317872823,4.37078551188022,4.53234177248637
100,200,"n=100, p=200","ar1_rho_0.5","original","elapsed_seconds",100,0.141599999999989,0.0340741911870494,0.00340741911870494,0.134921458527328,0.148278541472651
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","mean_entry_tau",100,0.902497874601178,0.0190289282917414,0.00190289282917414,0.898768204655996,0.906227544546359
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","mean_jaccard_s",100,0.972041219649915,0.0301736517447438,0.00301736517447438,0.966127183907945,0.977955255391885
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","mean_jaccard_2s",100,0.963599134971364,0.0313228879098025,0.00313228879098025,0.957459848941042,0.969738421001685
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","mean_support_f1",100,0.456043339971304,0.0793142803481981,0.00793142803481981,0.440497741023057,0.471588938919551
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","mean_rmse",100,4.759991839811,0.387154271080151,0.0387154271080151,4.68410960267929,4.83587407694271
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","f1_lasso",100,0.4565,0.0802945964696394,0.00802945964696393,0.440762259091951,0.472237740908049
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","f1_lar",100,0.456,0.0804909179894718,0.00804909179894718,0.440223780074064,0.471776219925936
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","f1_glmnet",100,0.455630019913911,0.0787099769776599,0.00787099769776599,0.44020286442629,0.471057175401532
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","rmse_lasso",100,4.75920666967267,0.387967714336191,0.0387967714336191,4.68316499766277,4.83524834168256
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","rmse_lar",100,4.7594846685816,0.388322964117543,0.0388322964117543,4.68337336761456,4.83559596954864
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","rmse_glmnet",100,4.76128418117872,0.385611005854198,0.0385611005854198,4.6857044240313,4.83686393832614
100,200,"n=100, p=200","ar1_rho_0.5","quantile_2","elapsed_seconds",100,0.198099999999977,0.062824028729918,0.0062824028729918,0.185786490368913,0.210413509631041
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","mean_entry_tau",100,0.921655141493726,0.0200409673537184,0.00200409673537184,0.917727111892397,0.925583171095054
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","mean_jaccard_s",100,0.969161660802965,0.037365671254142,0.0037365671254142,0.961837989237153,0.976485332368777
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","mean_jaccard_2s",100,0.96760184196174,0.0285929667023936,0.00285929667023936,0.961997620488071,0.973206063435409
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","mean_support_f1",100,0.341020010143133,0.082588106927837,0.0082588106927837,0.324832741185277,0.357207279100989
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","mean_rmse",100,5.06394878778328,0.391119588306096,0.0391119588306096,4.98728934847529,5.14060822709128
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","f1_lasso",100,0.34,0.0843872746402686,0.00843872746402686,0.323460094170507,0.356539905829493
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","f1_lar",100,0.34,0.0840874965182522,0.00840874965182522,0.323518850682423,0.356481149317577
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","f1_glmnet",100,0.343060030429398,0.0811861060421054,0.00811861060421054,0.327147553645146,0.358972507213651
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","rmse_lasso",100,5.06367455556266,0.390617038380347,0.0390617038380347,4.98711361604011,5.14023549508521
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","rmse_lar",100,5.06403281939519,0.390921729156222,0.0390921729156222,4.98741216048057,5.14065347830981
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","rmse_glmnet",100,5.064138988392,0.391906623131986,0.0391906623131986,4.98732529025813,5.14095268652587
100,200,"n=100, p=200","ar1_rho_0.5","quantile_4","elapsed_seconds",100,0.279200000000001,0.0784145935706634,0.00784145935706634,0.263830739660151,0.294569260339851
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","mean_entry_tau",100,0.923428973744533,0.0210981148992124,0.00210981148992124,0.919293743224287,0.927564204264779
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","mean_jaccard_s",100,0.968346571303093,0.0318114197560763,0.00318114197560763,0.962111533030902,0.974581609575284
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","mean_jaccard_2s",100,0.96677946354918,0.0330744136845967,0.00330744136845967,0.960296878466999,0.973262048631361
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","mean_support_f1",100,0.250148622464278,0.0827686922641032,0.00827686922641032,0.233925958780513,0.266371286148042
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","mean_rmse",100,5.26464015617024,0.402154414207427,0.0402154414207427,5.18581789098559,5.3434624213549
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","f1_lasso",100,0.249,0.0834786611577286,0.00834786611577286,0.232638182413085,0.265361817586915
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","f1_lar",100,0.249,0.0834786611577286,0.00834786611577286,0.232638182413085,0.265361817586915
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","f1_glmnet",100,0.252445867392833,0.0825578818981936,0.00825578818981936,0.236264522540787,0.268627212244879
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","rmse_lasso",100,5.26479054059271,0.402230123100833,0.0402230123100833,5.18595343646495,5.34362764472048
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","rmse_lar",100,5.26478765971844,0.402225890279398,0.0402225890279398,5.18595138522368,5.3436239342132
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","rmse_glmnet",100,5.26434226819957,0.402020523714852,0.0402020523714852,5.18554624555146,5.34313829084768
100,200,"n=100, p=200","ar1_rho_0.5","quantile_8","elapsed_seconds",100,0.50420000000001,0.114769685928316,0.0114769685928316,0.48170514155806,0.52669485844196
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","mean_entry_tau",100,0.918210703896606,0.0200656421399533,0.00200656421399533,0.914277838037176,0.922143569756037
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","mean_jaccard_s",100,0.971748541313759,0.0294511363466247,0.00294511363466247,0.96597611858982,0.977520964037697
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","mean_jaccard_2s",100,0.968084343966363,0.0322376529971104,0.00322376529971105,0.96176576397893,0.974402923953797
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","mean_support_f1",100,0.310008672741515,0.0879811622430562,0.00879811622430562,0.292764364941875,0.327252980541154
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","mean_rmse",100,5.16839570935998,0.394143271023598,0.0394143271023598,5.09114362823935,5.2456477904806
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","f1_lasso",100,0.309,0.0891542755479783,0.00891542755479783,0.291525761992596,0.326474238007404
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","f1_lar",100,0.3095,0.0886757229369112,0.00886757229369112,0.292119558304365,0.326880441695635
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","f1_glmnet",100,0.311526018224543,0.0875315911255757,0.00875315911255757,0.294369826363931,0.328682210085156
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","rmse_lasso",100,5.16850391440201,0.39393179564954,0.039393179564954,5.0912932824547,5.24571454634932
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","rmse_lar",100,5.16873199337817,0.393816242898146,0.0393816242898146,5.09154400977014,5.24591997698621
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","rmse_glmnet",100,5.16795122029975,0.394708348427322,0.0394708348427322,5.09058838400799,5.2453140565915
100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","elapsed_seconds",100,0.302200000000016,0.0869061958015021,0.00869061958015021,0.285166385622922,0.319233614377111
100,200,"n=100, p=200","ar1_rho_0.9","original","mean_entry_tau",100,0.812051557935472,0.0341884483653533,0.00341884483653533,0.805350622055863,0.818752493815082
100,200,"n=100, p=200","ar1_rho_0.9","original","mean_jaccard_s",100,0.906990301003344,0.070823767338212,0.0070823767338212,0.893108842605055,0.920871759401634
100,200,"n=100, p=200","ar1_rho_0.9","original","mean_jaccard_2s",100,0.816677398386717,0.065197989540664,0.0065197989540664,0.803898592436747,0.829456204336687
100,200,"n=100, p=200","ar1_rho_0.9","original","mean_support_f1",100,0.340305760383185,0.0804444589842185,0.00804444589842185,0.324538646422278,0.356072874344092
100,200,"n=100, p=200","ar1_rho_0.9","original","mean_rmse",100,3.95008774828907,0.547591072030262,0.0547591072030262,3.84275989817114,4.057415598407
100,200,"n=100, p=200","ar1_rho_0.9","original","f1_lasso",100,0.3405,0.0812450464690468,0.00812450464690468,0.324575970892067,0.356424029107933
100,200,"n=100, p=200","ar1_rho_0.9","original","f1_lar",100,0.337,0.0818411864404457,0.00818411864404458,0.320959127457673,0.353040872542327
