"n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
100,20,"n=100, p=20","block","quantile_8","delta_mean_rmse",100,0.632052408673743,0.294862646343109,0.0294862646343109,0.574259329990494,0.689845487356993
100,20,"n=100, p=20","block","equal_width_4","delta_mean_entry_tau",100,-0.0106773914170031,0.0254807337131742,0.00254807337131742,-0.0156716152247852,-0.00568316760922092
100,20,"n=100, p=20","block","equal_width_4","delta_mean_jaccard_s",100,-0.0166269841269841,0.0811717073226021,0.00811717073226021,-0.0325366387622141,-0.000717329491754112
100,20,"n=100, p=20","block","equal_width_4","delta_mean_jaccard_2s",100,-0.0125679875679876,0.0947939802028156,0.00947939802028156,-0.0311476076877394,0.00601163255176428
100,20,"n=100, p=20","block","equal_width_4","delta_mean_support_f1",100,-0.284948717948718,0.196103634531437,0.0196103634531437,-0.32338503031688,-0.246512405580556
100,20,"n=100, p=20","block","equal_width_4","delta_mean_rmse",100,0.598493397952542,0.327007283236514,0.0327007283236514,0.534399970438185,0.662586825466899
100,100,"n=100, p=100","independent","quantile_2","delta_mean_entry_tau",100,-0.0127927337034342,0.0254860941918806,0.00254860941918806,-0.0177880081650428,-0.00779745924182557
100,100,"n=100, p=100","independent","quantile_2","delta_mean_jaccard_s",100,0.00139083139083139,0.0565477806317066,0.00565477806317066,-0.0096925336129831,0.0124741963946459
100,100,"n=100, p=100","independent","quantile_2","delta_mean_jaccard_2s",100,0.0134279488627315,0.0426632489464594,0.00426632489464594,0.00506595206922544,0.0217899456562375
100,100,"n=100, p=100","independent","quantile_2","delta_mean_support_f1",100,-0.0768681849551415,0.0838372510592109,0.00838372510592109,-0.0933002861627468,-0.0604360837475362
100,100,"n=100, p=100","independent","quantile_2","delta_mean_rmse",100,0.32621876368363,0.179860763477253,0.0179860763477253,0.290966054042088,0.361471473325171
100,100,"n=100, p=100","independent","quantile_4","delta_mean_entry_tau",100,-0.0106409473508277,0.0265143659413334,0.00265143659413334,-0.015837763075329,-0.00544413162632636
100,100,"n=100, p=100","independent","quantile_4","delta_mean_jaccard_s",100,-0.011033411033411,0.0606357367423746,0.00606357367423746,-0.0229180154349164,0.00085119336809439
100,100,"n=100, p=100","independent","quantile_4","delta_mean_jaccard_2s",100,0.00670701279396932,0.0406205697979064,0.00406205697979064,-0.00125461888642034,0.014668644474359
100,100,"n=100, p=100","independent","quantile_4","delta_mean_support_f1",100,-0.225714473931865,0.126356942397642,0.0126356942397642,-0.250480434641803,-0.200948513221927
100,100,"n=100, p=100","independent","quantile_4","delta_mean_rmse",100,0.597599278342964,0.211387642438722,0.0211387642438722,0.556167300424974,0.639031256260953
100,100,"n=100, p=100","independent","quantile_8","delta_mean_entry_tau",100,-0.00450917098056532,0.0230062916752172,0.00230062916752172,-0.0090184041489079,6.21877772524065e-08
100,100,"n=100, p=100","independent","quantile_8","delta_mean_jaccard_s",100,-0.0192096792096792,0.0680450092324066,0.00680450092324066,-0.0325465010192309,-0.00587285740012752
100,100,"n=100, p=100","independent","quantile_8","delta_mean_jaccard_2s",100,0.00537537341885168,0.0431738271386837,0.00431738271386837,-0.00308669670033033,0.0138374435380337
100,100,"n=100, p=100","independent","quantile_8","delta_mean_support_f1",100,-0.377404071773637,0.137555818636688,0.0137555818636688,-0.404365012226428,-0.350443131320846
100,100,"n=100, p=100","independent","quantile_8","delta_mean_rmse",100,0.851005599853869,0.23295442624679,0.023295442624679,0.805346532309498,0.89666466739824
100,100,"n=100, p=100","independent","equal_width_4","delta_mean_entry_tau",100,-0.0116153822034792,0.0256258803452151,0.00256258803452151,-0.0166380547511414,-0.00659270965581706
100,100,"n=100, p=100","independent","equal_width_4","delta_mean_jaccard_s",100,-0.00695526695526695,0.0561415508040713,0.00561415508040713,-0.0179590109128649,0.00404847700233102
100,100,"n=100, p=100","independent","equal_width_4","delta_mean_jaccard_2s",100,0.00472636783506349,0.0500937528194939,0.00500937528194939,-0.00509200771755732,0.0145447433876843
100,100,"n=100, p=100","independent","equal_width_4","delta_mean_support_f1",100,-0.25867977915804,0.130689243265147,0.0130689243265147,-0.284294870838009,-0.233064687478071
100,100,"n=100, p=100","independent","equal_width_4","delta_mean_rmse",100,0.753028043406778,0.224843585990543,0.0224843585990543,0.708958700552631,0.797097386260924
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,-0.0106037292655845,0.0337466894165768,0.00337466894165768,-0.0172180803912335,-0.00398937813993544
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,0.00827505827505827,0.0629497427891698,0.00629497427891698,-0.00406309131161901,0.0206132078617356
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,0.0151869627956585,0.0484224609565397,0.00484224609565397,0.00569616044817667,0.0246777651431402
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_support_f1",100,-0.076736369910283,0.0847918040126131,0.00847918040126131,-0.0933555634967552,-0.0601171763238108
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","delta_mean_rmse",100,0.298286245676586,0.139343774005678,0.0139343774005678,0.270974865971473,0.325597625381699
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,-4.14456023190113e-05,0.0292632902750128,0.00292632902750128,-0.00577705049622153,0.0056941592915835
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,0.00958818958818959,0.0509954009007332,0.00509954009007332,-0.000406908988354117,0.0195832881647333
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_jaccard_2s",100,0.0176206945228684,0.0418900683973838,0.00418900683973838,0.00941024111698121,0.0258311479287557
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_support_f1",100,-0.207301650040781,0.111619081813197,0.0111619081813197,-0.229178990076167,-0.185424310005394
100,100,"n=100, p=100","ar1_rho_0.5","quantile_4","delta_mean_rmse",100,0.55305786892644,0.175454114351874,0.0175454114351874,0.518668862513473,0.587446875339408
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_entry_tau",100,0.00847916363364719,0.0294453470592027,0.00294453470592027,0.00270787561004346,0.0142504516572509
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.00732156732156732,0.0678114559385518,0.00678114559385518,-0.0206126126855235,0.00596947804238883
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_jaccard_2s",100,0.00989177489177489,0.0453528930940636,0.00453528930940636,0.00100260784533843,0.0187809419382113
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_support_f1",100,-0.369362350210176,0.143480279760582,0.0143480279760582,-0.39748448504325,-0.341240215377102
100,100,"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_rmse",100,0.817691418242149,0.203942241658923,0.0203942241658923,0.777718738877,0.857664097607298
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_entry_tau",100,-0.000871310943953666,0.0288369923696776,0.00288369923696776,-0.00652336144841047,0.00478073956050314
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_s",100,-0.000761460761460769,0.0685963613935938,0.00685963613935938,-0.0142063475946052,0.0126834260716836
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_2s",100,0.0193299454169019,0.0458145472287381,0.00458145472287381,0.0103502941600693,0.0283095966737346
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_support_f1",100,-0.270481209611644,0.123817320928685,0.0123817320928685,-0.294749404513667,-0.246213014709622
100,100,"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_rmse",100,0.721730071169827,0.211151226605082,0.0211151226605082,0.680344430755231,0.763115711584423
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_entry_tau",100,-0.00500498432461237,0.0404834367907079,0.00404834367907079,-0.0129397379355911,0.00292976928636638
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_jaccard_s",100,0.0128477078477078,0.0933367677011609,0.00933367677011609,-0.00544629862171969,0.0311417143171354
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_jaccard_2s",100,0.0347597734257154,0.0890039693628242,0.00890039693628242,0.0173149954306019,0.052204551420829
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_support_f1",100,-0.0735324675324675,0.10867585947355,0.010867585947355,-0.0948329359892834,-0.0522319990756517
100,100,"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_rmse",100,0.295071530129373,0.16315541113787,0.016315541113787,0.263093069546351,0.327049990712396
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_entry_tau",100,0.0198585582398109,0.0416757177786464,0.00416757177786464,0.0116901175551962,0.0280269989244256
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_jaccard_s",100,0.0183702408702409,0.0850570695914803,0.00850570695914803,0.00169905523031072,0.035041426510171
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_jaccard_2s",100,0.0656218413095225,0.0853860910208791,0.00853860910208791,0.0488861674694302,0.0823575151496148
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_support_f1",100,-0.135529769747161,0.114193012663492,0.0114193012663492,-0.157911600229205,-0.113147939265117
100,100,"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_rmse",100,0.474283028803061,0.183388208872074,0.0183388208872074,0.438338939864134,0.510227117741987
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_entry_tau",100,0.0411698903605816,0.0409368699062361,0.00409368699062361,0.0331462638589593,0.0491935168622039
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_jaccard_s",100,0.0123726273726274,0.0813266627512429,0.00813266627512429,-0.00356739852661624,0.028312653271871
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_jaccard_2s",100,0.0725178981512315,0.0928139925598366,0.00928139925598366,0.0543263556095035,0.0907094406929595
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_support_f1",100,-0.202954074910597,0.13625313506008,0.013625313506008,-0.229659689382372,-0.176248460438821
100,100,"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_rmse",100,0.700722441860654,0.240119631631649,0.0240119631631649,0.653658994060851,0.747785889660457
100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_entry_tau",100,0.0229549208943648,0.0457191144147552,0.00457191144147552,0.0139939744690728,0.0319158673196569
100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_s",100,0.0191364191364191,0.0824839925483885,0.00824839925483885,0.00296955659693499,0.0353032816759033
100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_2s",100,0.070196155883837,0.0958351478835777,0.00958351478835777,0.0514124668986558,0.0889798448690183
100,100,"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_support_f1",100,-0.189836595771378,0.132351118422426,0.0132351118422426,-0.215777414982174,-0.163895776560583
