"dimension","correlation","scheme","metric","replications","mean","ci_lower","ci_upper"
"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.00732156732156732,-0.0206126126855235,0.00596947804238883
"n=100, p=100","ar1_rho_0.5","quantile_8","delta_mean_jaccard_2s",100,0.00989177489177489,0.00100260784533843,0.0187809419382113
"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_entry_tau",100,-0.000871310943953666,-0.00652336144841047,0.00478073956050314
"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_s",100,-0.000761460761460769,-0.0142063475946052,0.0126834260716836
"n=100, p=100","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_2s",100,0.0193299454169019,0.0103502941600693,0.0283095966737346
"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_entry_tau",100,-0.00500498432461237,-0.0129397379355911,0.00292976928636638
"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_jaccard_s",100,0.0128477078477078,-0.00544629862171969,0.0311417143171354
"n=100, p=100","ar1_rho_0.9","quantile_2","delta_mean_jaccard_2s",100,0.0347597734257154,0.0173149954306019,0.052204551420829
"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_entry_tau",100,0.0198585582398109,0.0116901175551962,0.0280269989244256
"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_jaccard_s",100,0.0183702408702409,0.00169905523031072,0.035041426510171
"n=100, p=100","ar1_rho_0.9","quantile_4","delta_mean_jaccard_2s",100,0.0656218413095225,0.0488861674694302,0.0823575151496148
"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_entry_tau",100,0.0411698903605816,0.0331462638589593,0.0491935168622039
"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_jaccard_s",100,0.0123726273726274,-0.00356739852661624,0.028312653271871
"n=100, p=100","ar1_rho_0.9","quantile_8","delta_mean_jaccard_2s",100,0.0725178981512315,0.0543263556095035,0.0907094406929595
"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_entry_tau",100,0.0229549208943648,0.0139939744690728,0.0319158673196569
"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_s",100,0.0191364191364191,0.00296955659693499,0.0353032816759033
"n=100, p=100","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_2s",100,0.070196155883837,0.0514124668986558,0.0889798448690183
"n=100, p=100","block","quantile_2","delta_mean_entry_tau",100,-0.0179858478619053,-0.0258380909485113,-0.0101336047752994
"n=100, p=100","block","quantile_2","delta_mean_jaccard_s",100,0.0103671328671329,-0.00395752630718857,0.0246917920414543
"n=100, p=100","block","quantile_2","delta_mean_jaccard_2s",100,0.0332302810447738,0.0152523458637895,0.0512082162257581
"n=100, p=100","block","quantile_4","delta_mean_entry_tau",100,0.00114141563422234,-0.00648008957687982,0.00876292084532451
"n=100, p=100","block","quantile_4","delta_mean_jaccard_s",100,0.00939088689088689,-0.00591788727110646,0.0246996610528803
"n=100, p=100","block","quantile_4","delta_mean_jaccard_2s",100,0.0455719649647186,0.0282809676423185,0.0628629622871187
"n=100, p=100","block","quantile_8","delta_mean_entry_tau",100,0.0202520400686814,0.012618613865072,0.0278854662722908
"n=100, p=100","block","quantile_8","delta_mean_jaccard_s",100,0.000854423354423358,-0.0156667118280584,0.0173755585369051
"n=100, p=100","block","quantile_8","delta_mean_jaccard_2s",100,0.0521372294104178,0.036114130143537,0.0681603286772986
"n=100, p=100","block","equal_width_4","delta_mean_entry_tau",100,-0.00693725680086958,-0.014495117314255,0.000620603712515821
"n=100, p=100","block","equal_width_4","delta_mean_jaccard_s",100,0.0210644910644911,0.00780109022583547,0.0343278919031467
"n=100, p=100","block","equal_width_4","delta_mean_jaccard_2s",100,0.0540964778914054,0.0373977013397676,0.0707952544430433
"n=100, p=200","independent","quantile_2","delta_mean_entry_tau",100,0.000136698070034567,-0.00588232934884176,0.00615572548891089
"n=100, p=200","independent","quantile_2","delta_mean_jaccard_s",100,0.000757575757575758,-0.00609580602156767,0.00761095753671918
"n=100, p=200","independent","quantile_2","delta_mean_jaccard_2s",100,-0.0077700045590006,-0.0142499522833518,-0.00129005683464939
"n=100, p=200","independent","quantile_4","delta_mean_entry_tau",100,0.0110532024407786,0.00533643751492033,0.0167699673666369
"n=100, p=200","independent","quantile_4","delta_mean_jaccard_s",100,-0.00766246314072401,-0.01550454219324,0.000179615911792016
"n=100, p=200","independent","quantile_4","delta_mean_jaccard_2s",100,-0.00842704862415584,-0.0150330335178862,-0.00182106373042543
"n=100, p=200","independent","quantile_8","delta_mean_entry_tau",100,0.0131057407734117,0.00693387768685197,0.0192776038599715
"n=100, p=200","independent","quantile_8","delta_mean_jaccard_s",100,-0.00658259614781354,-0.0152787728320589,0.00211358053643184
"n=100, p=200","independent","quantile_8","delta_mean_jaccard_2s",100,-0.0146510472469066,-0.0228132478908617,-0.00648884660295144
"n=100, p=200","independent","equal_width_4","delta_mean_entry_tau",100,0.00848892813155209,0.00267907030896696,0.0142987859541372
"n=100, p=200","independent","equal_width_4","delta_mean_jaccard_s",100,-0.0118833207854947,-0.0210625183892897,-0.00270412318169971
"n=100, p=200","independent","equal_width_4","delta_mean_jaccard_2s",100,-0.0109878860451748,-0.0189199541933484,-0.00305581789700112
"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,0.00702327393625179,0.00130007298495322,0.0127464748875504
"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,-0.00593763724198508,-0.0138554121368138,0.00198013765284368
"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,-0.000972354714136267,-0.00974719426395618,0.00780248483568365
"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,0.0261805408287998,0.0195698078197386,0.0327912738378609
"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,-0.00881719608893523,-0.0181422879113833,0.000507895733512891
"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_jaccard_2s",100,0.00303035227623997,-0.00541036832407484,0.0114710728765548
"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_entry_tau",100,0.0279543730796073,0.0218256192773704,0.0340831268818442
"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.00963228558880734,-0.0183885252220142,-0.000876045955600461
"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_jaccard_2s",100,0.00220797386368041,-0.0067107000393826,0.0111266477667434
"n=100, p=200","ar1_rho_0.5","equal_width_4","delta_mean_entry_tau",100,0.0227361032316806,0.0168932065497806,0.0285789999135806
"n=100, p=200","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_s",100,-0.00623031557814167,-0.014387599423059,0.00192696826677568
"n=100, p=200","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_2s",100,0.00351285428086336,-0.00488770510608475,0.0119134136678115
"n=100, p=200","ar1_rho_0.9","quantile_2","delta_mean_entry_tau",100,0.0231505469184067,0.0147300904962263,0.0315710033405872
"n=100, p=200","ar1_rho_0.9","quantile_2","delta_mean_jaccard_s",100,0.0343730655817612,0.0180177747467489,0.0507283564167736
"n=100, p=200","ar1_rho_0.9","quantile_2","delta_mean_jaccard_2s",100,0.0375498242039873,0.022167152334574,0.0529324960734006
"n=100, p=200","ar1_rho_0.9","quantile_4","delta_mean_entry_tau",100,0.0694413035412851,0.0602321245285414,0.0786504825540288
"n=100, p=200","ar1_rho_0.9","quantile_4","delta_mean_jaccard_s",100,0.051807139237574,0.0358583920904379,0.0677558863847101
"n=100, p=200","ar1_rho_0.9","quantile_4","delta_mean_jaccard_2s",100,0.0974723110580612,0.0819539881945159,0.112990633921607
"n=100, p=200","ar1_rho_0.9","quantile_8","delta_mean_entry_tau",100,0.0902206313272173,0.0824460231670501,0.0979952394873845
