"scenario_id","replication","seed","n","p","dimension","correlation","active_s","snr","noise_sd","representation","scheme","p_representation","raw_density","fit_success_count","fit_error","elapsed_seconds","tau_lasso_lar","tau_lasso_glmnet","tau_lar_glmnet","mean_entry_tau","mean_jaccard_s","mean_jaccard_2s","precision_lasso","recall_lasso","f1_lasso","rmse_lasso","selected_size_lasso","precision_lar","recall_lar","f1_lar","rmse_lar","selected_size_lar","precision_glmnet","recall_glmnet","f1_glmnet","rmse_glmnet","selected_size_glmnet","mean_support_f1","mean_rmse","original_mean_entry_tau","original_mean_jaccard_s","original_mean_jaccard_2s","original_mean_support_f1","original_mean_rmse","delta_mean_entry_tau","delta_mean_jaccard_s","delta_mean_jaccard_2s","delta_mean_support_f1","delta_mean_rmse"
6,28,20860739,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.83257287148416,"sparsified","equal_width_4",400,0.25,3,"",0.179999999999836,0.931661346473648,0.979989681530899,0.918675272357315,0.943442100120621,1,0.939393939393939,0.5,0.5,0.5,3.90794248218192,10,0.5,0.5,0.5,3.90794248218192,10,0.5,0.5,0.5,3.91465419099901,10,0.5,3.91017971845429,0.874940852928694,0.939393939393939,1,0.688888888888889,3.50727042120921,0.0685012471919265,0.0606060606060607,-0.0606060606060607,-0.188888888888889,0.402909297245072
6,29,20860740,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.53893270969337,"sparsified","quantile_2",200,0.5,3,"",0.160000000000082,0.893655405996347,0.97446435849477,0.910540323474912,0.92622002932201,0.939393939393939,1,0.6,0.6,0.6,2.60250209739757,10,0.6,0.6,0.6,2.60250209739757,10,0.545454545454545,0.6,0.571428571428571,2.58841647647745,11,0.59047619047619,2.5978068904242,0.949145227745174,0.939393939393939,0.939393939393939,0.59047619047619,2.44563510811877,-0.0229251984231643,0,0.0606060606060607,0,0.152171782305428
6,29,20860740,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.53893270969337,"sparsified","quantile_4",400,0.25,3,"",0.210000000000036,0.959741797254852,0.99144966750252,0.95803698001239,0.969742814923254,0.888888888888889,0.968253968253968,0.4,0.4,0.4,2.75918378949621,10,0.4,0.4,0.4,2.75918378949621,10,0.333333333333333,0.4,0.363636363636364,2.75033473227832,12,0.387878787878788,2.75623410375692,0.949145227745174,0.939393939393939,0.939393939393939,0.59047619047619,2.44563510811877,0.02059758717808,-0.0505050505050504,0.0288600288600289,-0.202597402597402,0.310598995638147
6,29,20860740,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.53893270969337,"sparsified","quantile_8",800,0.125,3,"",0.230000000000018,0.931019988098645,0.98445469110044,0.916768190950326,0.94408095671647,0.939393939393939,1,0.3,0.3,0.3,3.1173472192287,10,0.3,0.3,0.3,3.1173472192287,10,0.272727272727273,0.3,0.285714285714286,3.11627784680857,11,0.295238095238095,3.11699076175533,0.949145227745174,0.939393939393939,0.939393939393939,0.59047619047619,2.44563510811877,-0.00506427102870377,0,0.0606060606060607,-0.295238095238095,0.671355653636559
6,29,20860740,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.53893270969337,"sparsified","equal_width_4",400,0.25,3,"",0.259999999999991,0.911628173527409,0.986762039562616,0.909312167884613,0.935900793658213,0.846153846153846,1,0.5,0.5,0.5,2.88377804250114,10,0.5,0.5,0.5,2.88377804250114,10,0.384615384615385,0.5,0.434782608695652,2.8628493429831,13,0.478260869565217,2.87680180932846,0.949145227745174,0.939393939393939,0.939393939393939,0.59047619047619,2.44563510811877,-0.0132444340869616,-0.0932400932400932,0.0606060606060607,-0.112215320910973,0.431166701209691
6,30,20860741,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.38148274285141,"sparsified","quantile_2",200,0.5,3,"",0.1099999999999,0.847421458631709,0.978281561101688,0.852629582376743,0.892777534036713,1,1,0.6,0.6,0.6,2.63443451331803,10,0.6,0.6,0.6,2.63443451331803,10,0.6,0.6,0.6,2.78804460121978,10,0.6,2.68563787595195,0.930833764252713,1,0.968253968253968,0.6,2.41606385228098,-0.0380562302159999,0,0.0317460317460317,0,0.269574023670965
6,30,20860741,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.38148274285141,"sparsified","quantile_4",400,0.25,3,"",0.170000000000073,0.865698228349666,0.981454378141176,0.872563987064689,0.906572197851844,1,1,0.4,0.4,0.4,2.9009818575345,10,0.4,0.4,0.4,2.9009818575345,10,0.4,0.4,0.4,2.89927221797889,10,0.4,2.90041197768263,0.930833764252713,1,0.968253968253968,0.6,2.41606385228098,-0.0242615664008696,0,0.0317460317460317,-0.2,0.484348125401648
6,30,20860741,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.38148274285141,"sparsified","quantile_8",800,0.125,3,"",0.279999999999973,0.919481475561617,0.98484674529297,0.931529378074356,0.945285866309648,0.888888888888889,0.939393939393939,0.4,0.4,0.4,2.99585928698762,10,0.4,0.4,0.4,2.99585928698762,10,0.333333333333333,0.4,0.363636363636364,2.9910939752648,12,0.387878787878788,2.99427084974668,0.930833764252713,1,0.968253968253968,0.6,2.41606385228098,0.0144521020569345,-0.111111111111111,-0.0288600288600289,-0.212121212121212,0.578206997465696
6,30,20860741,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.38148274285141,"sparsified","equal_width_4",400,0.25,3,"",0.139999999999873,0.924845524459899,0.980618014653206,0.919331322602448,0.941598287238518,1,0.968253968253968,0.3,0.3,0.3,2.93466009788856,10,0.3,0.3,0.3,2.93466009788856,10,0.3,0.3,0.3,2.93418749232359,10,0.3,2.93450256270023,0.930833764252713,1,0.968253968253968,0.6,2.41606385228098,0.0107645229858047,0,0,-0.3,0.518438710419252
6,31,20860742,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.75335159584356,"sparsified","quantile_2",200,0.5,3,"",0.110000000000127,0.885792285383534,0.971144140655847,0.903186011626335,0.920040812555238,1,1,0.6,0.6,0.6,3.3719008570359,10,0.6,0.6,0.6,3.3719008570359,10,0.6,0.6,0.6,3.38262126980181,10,0.6,3.37547432795787,0.969092642443333,0.939393939393939,0.968253968253968,0.720634920634921,3.11214391148836,-0.0490518298880952,0.0606060606060607,0.0317460317460317,-0.120634920634921,0.263330416469508
6,31,20860742,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.75335159584356,"sparsified","quantile_4",400,0.25,3,"",0.149999999999864,0.89282739872058,0.979347798396682,0.897397447711447,0.92319088160957,0.939393939393939,1,0.4,0.4,0.4,3.74783931990858,10,0.4,0.4,0.4,3.74783931990858,10,0.363636363636364,0.4,0.380952380952381,3.74735967216599,11,0.393650793650794,3.74767943732771,0.969092642443333,0.939393939393939,0.968253968253968,0.720634920634921,3.11214391148836,-0.0459017608337635,0,0.0317460317460317,-0.326984126984127,0.635535525839352
6,31,20860742,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.75335159584356,"sparsified","quantile_8",800,0.125,3,"",0.190000000000055,0.965799135111045,0.984096177907826,0.962615074636608,0.970836795885159,1,1,0.3,0.3,0.3,3.89855450505507,10,0.3,0.3,0.3,3.89855450505507,10,0.3,0.3,0.3,3.91286535051036,10,0.3,3.9033247868735,0.969092642443333,0.939393939393939,0.968253968253968,0.720634920634921,3.11214391148836,0.00174415344182577,0.0606060606060607,0.0317460317460317,-0.420634920634921,0.791180875385139
6,31,20860742,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.75335159584356,"sparsified","equal_width_4",400,0.25,3,"",0.210000000000036,0.917709212377257,0.959523075250124,0.912909327095857,0.930047204907746,0.939393939393939,0.936507936507937,0.4,0.4,0.4,3.70084313711029,10,0.4,0.4,0.4,3.70084313711029,10,0.363636363636364,0.4,0.380952380952381,3.70059635637551,11,0.393650793650794,3.70076087686536,0.969092642443333,0.939393939393939,0.968253968253968,0.720634920634921,3.11214391148836,-0.0390454375355873,0,-0.0317460317460317,-0.326984126984127,0.588616965377001
6,32,20860743,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.96508848268464,"sparsified","quantile_2",200,0.5,3,"",0.150000000000091,0.912013471558563,0.980088014476275,0.90984066609858,0.933980717377806,0.939393939393939,0.939393939393939,0.7,0.7,0.7,2.6086713687053,10,0.7,0.7,0.7,2.6086713687053,10,0.727272727272727,0.8,0.761904761904762,2.59823029606724,11,0.720634920634921,2.60519101115928,0.943280139245604,0.939393939393939,0.939393939393939,0.787301587301587,2.37520804899215,-0.00929942186779764,0,0,-0.0666666666666668,0.229982962167129
6,32,20860743,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.96508848268464,"sparsified","quantile_4",400,0.25,3,"",0.240000000000009,0.889808790814485,0.980460237513146,0.892534420591825,0.920934482973152,1,0.968253968253968,0.7,0.7,0.7,2.96430493217576,10,0.7,0.7,0.7,2.96430493217576,10,0.7,0.7,0.7,2.99562009071787,10,0.7,2.97474331835646,0.943280139245604,0.939393939393939,0.939393939393939,0.787301587301587,2.37520804899215,-0.0223456562724519,0.0606060606060607,0.0288600288600289,-0.0873015873015874,0.599535269364309
6,32,20860743,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.96508848268464,"sparsified","quantile_8",800,0.125,3,"",0.349999999999909,0.903146682764868,0.97375467820177,0.912466813683736,0.929789391550125,1,1,0.6,0.6,0.6,3.24268573208011,10,0.6,0.6,0.6,3.24268573208011,10,0.6,0.6,0.6,3.31858701992959,10,0.6,3.26798616136327,0.943280139245604,0.939393939393939,0.939393939393939,0.787301587301587,2.37520804899215,-0.0134907476954792,0.0606060606060607,0.0606060606060607,-0.187301587301587,0.892778112371117
6,32,20860743,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.96508848268464,"sparsified","equal_width_4",400,0.25,3,"",0.2199999999998,0.920327891870386,0.993675693280807,0.919716534899293,0.944573373350162,1,0.968253968253968,0.6,0.6,0.6,3.19655947087411,10,0.6,0.6,0.6,3.19655947087411,10,0.6,0.6,0.6,3.23009492841044,10,0.6,3.20773795671956,0.943280139245604,0.939393939393939,0.939393939393939,0.787301587301587,2.37520804899215,0.00129323410455839,0.0606060606060607,0.0288600288600289,-0.187301587301587,0.832529907727402
6,33,20860744,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.68217333926442,"sparsified","quantile_2",200,0.5,3,"",0.1099999999999,0.817659420345628,0.968455574957846,0.838185103890313,0.874766699731262,0.939393939393939,1,0.7,0.7,0.7,2.64134376060852,10,0.7,0.7,0.7,2.64134376060852,10,0.727272727272727,0.8,0.761904761904762,2.60677588705283,11,0.720634920634921,2.62982113608995,0.930392485724069,0.939393939393939,0.888888888888889,0.787301587301587,2.23869268154896,-0.0556257859928067,0,0.111111111111111,-0.0666666666666668,0.391128454540994
6,33,20860744,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.68217333926442,"sparsified","quantile_4",400,0.25,3,"",0.329999999999927,0.891536586268752,0.986030917423872,0.8925412404148,0.923369581369141,0.939393939393939,0.968253968253968,0.6,0.6,0.6,2.83280644786518,10,0.6,0.6,0.6,2.83280644786518,10,0.545454545454545,0.6,0.571428571428571,2.82820000220599,11,0.59047619047619,2.83127096597878,0.930392485724069,0.939393939393939,0.888888888888889,0.787301587301587,2.23869268154896,-0.00702290435492747,0,0.0793650793650793,-0.196825396825397,0.592578284429826
6,33,20860744,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.68217333926442,"sparsified","quantile_8",800,0.125,3,"",0.190000000000055,0.922480142663613,0.971495429957226,0.91540644099849,0.936460671206443,1,1,0.4,0.4,0.4,3.23961850089243,10,0.4,0.4,0.4,3.23961850089243,10,0.4,0.4,0.4,3.24990330726092,10,0.4,3.24304676968193,0.930392485724069,0.939393939393939,0.888888888888889,0.787301587301587,2.23869268154896,0.0060681854823742,0.0606060606060607,0.111111111111111,-0.387301587301587,1.00435408813297
6,33,20860744,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.68217333926442,"sparsified","equal_width_4",400,0.25,3,"",0.1400000000001,0.955152659692535,0.986506970808522,0.951602601305364,0.964420743935474,0.939393939393939,1,0.4,0.4,0.4,3.32636750116271,10,0.4,0.4,0.4,3.32636750116271,10,0.363636363636364,0.4,0.380952380952381,3.31112905197884,11,0.393650793650794,3.32128801810142,0.930392485724069,0.939393939393939,0.888888888888889,0.787301587301587,2.23869268154896,0.0340282582114049,0,0.111111111111111,-0.393650793650794,1.08259533655246
6,34,20860745,100,100,"n=100, p=100","ar1_rho_0.5",10,3,2.00516698414907,"sparsified","quantile_2",200,0.5,3,"",0.110000000000127,0.929316591006654,0.9565924653578,0.928686721470319,0.938198592611591,1,1,0.6,0.6,0.6,3.77642475664056,10,0.6,0.6,0.6,3.77642475664056,10,0.6,0.6,0.6,3.83255722429708,10,0.6,3.79513557919274,0.933323841728527,0.888888888888889,0.939393939393939,0.642424242424242,3.6907059427185,0.00487475088306422,0.111111111111111,0.0606060606060607,-0.0424242424242424,0.10442963647424
6,34,20860745,100,100,"n=100, p=100","ar1_rho_0.5",10,3,2.00516698414907,"sparsified","quantile_4",400,0.25,3,"",0.210000000000036,0.925115845347277,0.977329094542078,0.932359318111778,0.944934752667044,1,1,0.6,0.6,0.6,4.04561685564871,10,0.6,0.6,0.6,4.04561685564871,10,0.6,0.6,0.6,4.11029516946782,10,0.6,4.06717629358841,0.933323841728527,0.888888888888889,0.939393939393939,0.642424242424242,3.6907059427185,0.0116109109385174,0.111111111111111,0.0606060606060607,-0.0424242424242424,0.376470350869918
6,34,20860745,100,100,"n=100, p=100","ar1_rho_0.5",10,3,2.00516698414907,"sparsified","quantile_8",800,0.125,3,"",0.349999999999909,0.915282101156712,0.979286240835367,0.90785362134963,0.934140654447236,0.939393939393939,1,0.6,0.6,0.6,4.23373946792779,10,0.6,0.6,0.6,4.23373946792779,10,0.545454545454545,0.6,0.571428571428571,4.22906588873726,11,0.59047619047619,4.23218160819761,0.933323841728527,0.888888888888889,0.939393939393939,0.642424242424242,3.6907059427185,0.000816812718709592,0.0505050505050504,0.0606060606060607,-0.051948051948052,0.541475665479119
6,34,20860745,100,100,"n=100, p=100","ar1_rho_0.5",10,3,2.00516698414907,"sparsified","equal_width_4",400,0.25,3,"",0.220000000000027,0.893869341790243,0.96488199361445,0.888859976212055,0.915870437205583,1,1,0.4,0.4,0.4,4.32880800648563,10,0.4,0.4,0.4,4.32880800648563,10,0.4,0.4,0.4,4.33269569452585,10,0.4,4.33010390249904,0.933323841728527,0.888888888888889,0.939393939393939,0.642424242424242,3.6907059427185,-0.0174534045229443,0.111111111111111,0.0606060606060607,-0.242424242424242,0.639397959780542
6,35,20860746,100,100,"n=100, p=100","ar1_rho_0.5",10,3,1.88082133024803,"sparsified","quantile_2",200,0.5,3,"",0.0900000000001455,0.91468679870237,0.981063374178545,0.917697819701819,0.937815997527578,1,0.968253968253968,0.8,0.8,0.8,3.26866884142558,10,0.8,0.8,0.8,3.26866884142558,10,0.8,0.8,0.8,3.34889318897238,10,0.8,3.29541029060785,0.916117665276524,1,0.968253968253968,0.8,2.8503730365723,0.0216983322510541,0,0,0,0.445037254035554
