"dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
"n=100, p=200","independent","quantile_8","delta_mean_entry_tau",100,0.0147114876321508,0.0312636027155981,0.00312636027155981,0.00858382149989353,0.020839153764408
"n=100, p=200","independent","quantile_8","delta_mean_jaccard_s",100,-0.00591191417278374,0.0297268985060665,0.00297268985060665,-0.0117383862799728,-8.54420655947152e-05
"n=100, p=200","independent","quantile_8","delta_mean_jaccard_2s",100,-0.014106358400743,0.0406438168813007,0.00406438168813007,-0.0220725465094779,-0.00614017029200804
"n=100, p=200","independent","equal_width_4","delta_mean_entry_tau",100,0.0112474319848053,0.0284648172120494,0.00284648172120494,0.0056683278112436,0.016826536158367
"n=100, p=200","independent","equal_width_4","delta_mean_jaccard_s",100,-0.00966630591630592,0.0342705779578308,0.00342705779578308,-0.0163833391960408,-0.00294927263657109
"n=100, p=200","independent","equal_width_4","delta_mean_jaccard_2s",100,-0.0117134475784504,0.0378551113508954,0.00378551113508954,-0.0191330494032259,-0.00429384575367492
"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_entry_tau",100,0.0102271397528395,0.0297163107961816,0.00297163107961816,0.00440274283678786,0.0160515366688911
"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_jaccard_s",100,0.00123031557814166,0.0308823801221782,0.00308823801221782,-0.00482263092580527,0.0072832620820886
"n=100, p=200","ar1_rho_0.5","quantile_2","delta_mean_jaccard_2s",100,-0.000558433373521294,0.0438639730762236,0.00438639730762236,-0.00915577209646111,0.00803890534941852
"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_entry_tau",100,0.0292579565174496,0.0336737595762444,0.00336737595762444,0.0226578996405057,0.0358580133943936
"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_jaccard_s",100,-0.00319825585042977,0.0340491280740177,0.00340491280740177,-0.00987188495293724,0.0034753732520777
"n=100, p=200","ar1_rho_0.5","quantile_4","delta_mean_jaccard_2s",100,0.00787261672173754,0.0423414065049168,0.00423414065049168,-0.000426298953226156,0.0161715323967012
"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_entry_tau",100,0.0296775781321156,0.0302299935735952,0.00302299935735952,0.0237524993916909,0.0356026568725403
"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_jaccard_s",100,-0.00162337662337663,0.0357541386010061,0.00357541386010061,-0.00863118778917382,0.00538443454242056
"n=100, p=200","ar1_rho_0.5","quantile_8","delta_mean_jaccard_2s",100,0.00258275322710944,0.0441963649678318,0.00441963649678318,-0.00607973430658559,0.0112452407608045
"n=100, p=200","ar1_rho_0.5","equal_width_4","delta_mean_entry_tau",100,0.0249088497552446,0.0293246833455869,0.00293246833455869,0.0191612118195096,0.0306564876909797
"n=100, p=200","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_s",100,-0.00238471673254282,0.0303743556995354,0.00303743556995354,-0.00833809044965177,0.00356865698456612
"n=100, p=200","ar1_rho_0.5","equal_width_4","delta_mean_jaccard_2s",100,0.00404868336008439,0.0417400828287557,0.00417400828287557,-0.00413237287435172,0.0122297395945205
"n=100, p=200","ar1_rho_0.9","quantile_2","delta_mean_entry_tau",100,0.0243642299904322,0.0429863211544313,0.00429863211544313,0.0159389110441636,0.0327895489367007
"n=100, p=200","ar1_rho_0.9","quantile_2","delta_mean_jaccard_s",100,0.0344002055915099,0.0798472484848046,0.00798472484848046,0.0187501448884882,0.0500502662945316
"n=100, p=200","ar1_rho_0.9","quantile_2","delta_mean_jaccard_2s",100,0.0400525218374966,0.0793481555928665,0.00793481555928665,0.0245002833412947,0.0556047603336984
"n=100, p=200","ar1_rho_0.9","quantile_4","delta_mean_entry_tau",100,0.0730538563854475,0.0460178553189076,0.00460178553189076,0.0640343567429416,0.0820733560279534
"n=100, p=200","ar1_rho_0.9","quantile_4","delta_mean_jaccard_s",100,0.0525487720009459,0.0787815778472685,0.00787815778472685,0.0371075827428813,0.0679899612590105
"n=100, p=200","ar1_rho_0.9","quantile_4","delta_mean_jaccard_2s",100,0.100667395977892,0.0812137243927503,0.00812137243927503,0.0847495059969129,0.116585285958871
"n=100, p=200","ar1_rho_0.9","quantile_8","delta_mean_entry_tau",100,0.0937219023854167,0.0391966443517114,0.00391966443517114,0.0860393600924813,0.101404444678352
"n=100, p=200","ar1_rho_0.9","quantile_8","delta_mean_jaccard_s",100,0.0583486967139141,0.0785595912331258,0.00785595912331258,0.0429510168322215,0.0737463765956067
"n=100, p=200","ar1_rho_0.9","quantile_8","delta_mean_jaccard_2s",100,0.123369887309309,0.0792954778717529,0.00792954778717529,0.107827973646446,0.138911800972173
"n=100, p=200","ar1_rho_0.9","equal_width_4","delta_mean_entry_tau",100,0.0677976800686012,0.0396176309900107,0.00396176309900107,0.0600326243945591,0.0755627357426433
"n=100, p=200","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_s",100,0.0603801917888874,0.0770760246575806,0.00770760246575806,0.0452732909560016,0.0754870926217732
"n=100, p=200","ar1_rho_0.9","equal_width_4","delta_mean_jaccard_2s",100,0.112219378668267,0.0813352162198964,0.00813352162198964,0.0962776762891671,0.128161081047367
"n=100, p=200","block","quantile_2","delta_mean_entry_tau",100,0.00667805916225043,0.038504762186678,0.0038504762186678,-0.000868874226338463,0.0142249925508393
"n=100, p=200","block","quantile_2","delta_mean_jaccard_s",100,0.0034883869753435,0.0724675293995244,0.00724675293995244,-0.0107152487869633,0.0176920227376503
"n=100, p=200","block","quantile_2","delta_mean_jaccard_2s",100,0.0111631469274095,0.08664385809819,0.008664385809819,-0.00581904925983572,0.0281453431146548
"n=100, p=200","block","quantile_4","delta_mean_entry_tau",100,0.0486036546574888,0.0394236371968171,0.00394236371968171,0.0408766217669127,0.056330687548065
"n=100, p=200","block","quantile_4","delta_mean_jaccard_s",100,0.0163045140849489,0.0643720726115171,0.00643720726115171,0.00368758785309151,0.0289214403168062
"n=100, p=200","block","quantile_4","delta_mean_jaccard_2s",100,0.0600868895900779,0.0755724136630887,0.00755724136630887,0.0452746965121125,0.0748990826680433
