"path_specification","n","p","dimension","correlation","scheme","metric","replications","original_mean","original_sd","original_se","original_ci_lower","original_ci_upper","sparsified_mean","sparsified_sd","sparsified_se","sparsified_ci_lower","sparsified_ci_upper","paired_difference_mean","paired_difference_sd","paired_difference_se","paired_difference_ci_lower","paired_difference_ci_upper"
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","F1",100,0.655737373737374,0.170676089291276,0.0170676089291276,0.622284860236284,0.689189887238464,0.422333333333333,0.174344219077258,0.0174344219077258,0.388161866394191,0.456504800272476,-0.23340404040404,0.208380603851469,0.0208380603851469,-0.274246638758928,-0.192561442049153
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.9","equal_width_4","RMSE",100,1.56023436353897,0.543533775823623,0.0543533775823623,1.45370174347754,1.6667669836004,2.11345698070902,0.705251121553088,0.0705251121553088,1.97522776088462,2.25168620053343,0.553222617170052,0.272685877542428,0.0272685877542428,0.499776185171736,0.606669049168368
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","A_entry",100,0.984073311193026,0.0203785310443485,0.00203785310443485,0.980079119108334,0.988067503277719,0.991792169637886,0.0168768801035864,0.00168768801035864,0.988484301137583,0.995100038138189,0.00771885844485981,0.0261074497316572,0.00261074497316572,0.002601798297455,0.0128359185922646
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","A_set_s",100,0.992539682539682,0.0343974538880203,0.00343974538880203,0.985797781577631,0.999281583501734,0.991111111111111,0.0302955471493656,0.00302955471493656,0.985173183869836,0.997049038352387,-0.00142857142857143,0.0472754963213806,0.00472754963213806,-0.010694568707562,0.00783742585041917
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","A_set_2s",100,0.971388888888889,0.0537500232037032,0.00537500232037032,0.960853884340963,0.981923893436815,0.976895881895882,0.0544313051408031,0.00544313051408031,0.966227346088285,0.987564417703479,0.00550699300699301,0.0774596171627873,0.00774596171627873,-0.0096750919569133,0.0206890779708993
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","F1",100,0.70810101010101,0.168899378411605,0.0168899378411605,0.674996731932336,0.741205288269685,0.611939393939394,0.149647392059684,0.0149647392059684,0.582608505095696,0.641270282783092,-0.0961616161616162,0.165087452905856,0.0165087452905856,-0.128518756931164,-0.0638044753920683
"primary_controlled",100,20,"n=100, p=20","block","quantile_2","RMSE",100,1.73149004593706,0.657469860892846,0.0657469860892846,1.60262595320207,1.86035413867206,1.98365729379442,0.774970022565745,0.0774970022565745,1.83176316937153,2.1355514182173,0.252167247857353,0.243752714299155,0.0243752714299155,0.204391715854719,0.299942779859987
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","A_entry",100,0.984073311193026,0.0203785310443485,0.00203785310443485,0.980079119108334,0.988067503277719,0.99263574873493,0.00802086670034517,0.000802086670034517,0.991063658861662,0.994207838608197,0.00856243754190324,0.022697869425828,0.0022697869425828,0.00411365513444096,0.0130112199493655
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","A_set_s",100,0.992539682539682,0.0343974538880203,0.00343974538880203,0.985797781577631,0.999281583501734,0.986984126984127,0.0379788184221133,0.00379788184221133,0.979540278573393,0.994427975394861,-0.00555555555555555,0.0507181878907024,0.00507181878907024,-0.0154963203821332,0.00438520927102212
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","A_set_2s",100,0.971388888888889,0.0537500232037032,0.00537500232037032,0.960853884340963,0.981923893436815,0.983409090909091,0.0433187752041343,0.00433187752041343,0.974918610969081,0.991899570849101,0.012020202020202,0.0667136073160388,0.00667136073160388,-0.00105566501374158,0.0250960690541456
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","F1",100,0.70810101010101,0.168899378411605,0.0168899378411605,0.674996731932336,0.741205288269685,0.50069696969697,0.157458489834622,0.0157458489834622,0.469835105689384,0.531558833704556,-0.20740404040404,0.201907940188742,0.0201907940188742,-0.246977996681034,-0.167830084127047
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","RMSE",100,1.73149004593706,0.657469860892846,0.0657469860892846,1.60262595320207,1.86035413867206,2.12882814181256,0.780757034295172,0.0780757034295172,1.97579976309071,2.28185652053442,0.3973380958755,0.279934356685597,0.0279934356685597,0.342470961965123,0.452205229785877
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","A_entry",100,0.984073311193026,0.0203785310443485,0.00203785310443485,0.980079119108334,0.988067503277719,0.99370172977561,0.00701811631335668,0.000701811631335668,0.992326178978192,0.995077280573028,0.00962841858258316,0.0215195471863788,0.00215195471863788,0.00541058733405292,0.0138462498311134
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","A_set_s",100,0.992539682539682,0.0343974538880203,0.00343974538880203,0.985797781577631,0.999281583501734,0.987777777777778,0.0383439452446511,0.00383439452446511,0.980262364509826,0.995293191045729,-0.00476190476190476,0.0385190999432831,0.00385190999432831,-0.0123116483507883,0.00278783882697874
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","A_set_2s",100,0.971388888888889,0.0537500232037032,0.00537500232037032,0.960853884340963,0.981923893436815,0.988762626262626,0.0352812658656675,0.00352812658656675,0.981847498152955,0.995677754372297,0.0173737373737374,0.0619705345363717,0.00619705345363717,0.00522751260460852,0.0295199621428662
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","F1",100,0.70810101010101,0.168899378411605,0.0168899378411605,0.674996731932336,0.741205288269685,0.441515151515152,0.131470908955859,0.0131470908955859,0.415746853359803,0.4672834496705,-0.266585858585859,0.200218868409114,0.0200218868409114,-0.305828756794045,-0.227342960377672
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","RMSE",100,1.73149004593706,0.657469860892846,0.0657469860892846,1.60262595320207,1.86035413867206,2.35946954006704,0.806145103484872,0.0806145103484872,2.201465099784,2.51747398035007,0.627979494129974,0.297371771533047,0.0297371771533047,0.569694626909497,0.686264361350451
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","A_entry",100,0.984073311193026,0.0203785310443485,0.00203785310443485,0.980079119108334,0.988067503277719,0.987103816824738,0.0151847807705434,0.00151847807705434,0.984127599793712,0.990080033855765,0.00303050563171176,0.0261672149982598,0.00261672149982598,-0.00209826850794715,0.00815927977137067
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","A_set_s",100,0.992539682539682,0.0343974538880203,0.00343974538880203,0.985797781577631,0.999281583501734,0.992222222222222,0.0284924888862492,0.00284924888862492,0.986637694400517,0.997806750043927,-0.000317460317460315,0.0459589855807828,0.00459589855807828,-0.00932542149129374,0.0086905008563731
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","A_set_2s",100,0.971388888888889,0.0537500232037032,0.00537500232037032,0.960853884340963,0.981923893436815,0.965034965034965,0.0660247203106728,0.00660247203106728,0.952094119854073,0.977975810215857,-0.00635392385392385,0.090277754351565,0.0090277754351565,-0.0240483637068306,0.0113405159989829
