"path_specification","dimension","correlation","scheme","result_rows","complete_three_method_fits","incomplete_fits","mean_generated_features","mean_raw_density","median_elapsed_seconds"
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.9","quantile_4",100,100,0,400,0.25,0.450000000000728
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.9","quantile_8",100,100,0,800,0.125,0.515000000001237
"sensitivity_dense_wide","n=100, p=100","ar1_rho_0.9","equal_width_4",100,100,0,400,0.25,0.459999999999127
"sensitivity_dense_wide","n=100, p=100","block","original",100,100,0,100,1,0.5
"sensitivity_dense_wide","n=100, p=100","block","quantile_2",100,100,0,200,0.5,0.400000000001455
"sensitivity_dense_wide","n=100, p=100","block","quantile_4",100,100,0,400,0.25,0.399999999997817
"sensitivity_dense_wide","n=100, p=100","block","quantile_8",100,100,0,800,0.125,0.469999999999345
"sensitivity_dense_wide","n=100, p=100","block","equal_width_4",100,100,0,400,0.25,0.409999999999854
"sensitivity_dense_wide","n=100, p=200","independent","original",100,100,0,200,1,0.284999999999854
"sensitivity_dense_wide","n=100, p=200","independent","quantile_2",100,100,0,400,0.5,0.330000000001746
"sensitivity_dense_wide","n=100, p=200","independent","quantile_4",100,100,0,800,0.25,0.459999999999127
"sensitivity_dense_wide","n=100, p=200","independent","quantile_8",100,100,0,1600,0.125,0.729999999999563
"sensitivity_dense_wide","n=100, p=200","independent","equal_width_4",100,100,0,800,0.25,0.469999999997526
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.5","original",100,100,0,200,1,0.345000000001164
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.5","quantile_2",100,100,0,400,0.5,0.370000000002619
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.5","quantile_4",100,100,0,800,0.25,0.475000000000364
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.5","quantile_8",100,100,0,1600,0.125,0.770000000000437
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.5","equal_width_4",100,100,0,800,0.25,0.490000000001601
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.9","original",100,100,0,200,1,0.639999999999418
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.9","quantile_2",100,100,0,400,0.5,0.569999999999709
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.9","quantile_4",100,100,0,800,0.25,0.580000000001746
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.9","quantile_8",100,100,0,1600,0.125,0.840000000000146
"sensitivity_dense_wide","n=100, p=200","ar1_rho_0.9","equal_width_4",100,100,0,800,0.25,0.600000000002183
"sensitivity_dense_wide","n=100, p=200","block","original",100,100,0,200,1,0.530000000000655
"sensitivity_dense_wide","n=100, p=200","block","quantile_2",100,100,0,400,0.5,0.529999999998836
"sensitivity_dense_wide","n=100, p=200","block","quantile_4",100,100,0,800,0.25,0.610000000000582
"sensitivity_dense_wide","n=100, p=200","block","quantile_8",100,100,0,1600,0.125,0.900000000001455
"sensitivity_dense_wide","n=100, p=200","block","equal_width_4",100,100,0,800,0.25,0.639999999999418
"sensitivity_dense_wide","n=500, p=100","independent","original",100,100,0,100,1,0.270000000000437
"sensitivity_dense_wide","n=500, p=100","independent","quantile_2",100,100,0,200,0.5,0.930000000000291
"sensitivity_dense_wide","n=500, p=100","independent","quantile_4",100,100,0,400,0.25,4.7549999999992
"sensitivity_dense_wide","n=500, p=100","independent","quantile_8",100,100,0,800,0.125,12.4799999999996
"sensitivity_dense_wide","n=500, p=100","independent","equal_width_4",100,100,0,400,0.25,4.625
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.5","original",100,100,0,100,1,0.299999999999272
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.5","quantile_2",100,100,0,200,0.5,1.05999999999767
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.5","quantile_4",100,100,0,400,0.25,5.07500000000073
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.5","quantile_8",100,100,0,800,0.125,13.130000000001
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.5","equal_width_4",100,100,0,400,0.25,4.94499999999971
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.9","original",100,100,0,100,0.9999998,0.605000000001382
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.9","quantile_2",100,100,0,200,0.5,1.68999999999869
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.9","quantile_4",100,100,0,400,0.25,6.80999999999949
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.9","quantile_8",100,100,0,800,0.125,14.1750000000011
"sensitivity_dense_wide","n=500, p=100","ar1_rho_0.9","equal_width_4",100,100,0,400,0.25,6.36999999999898
"sensitivity_dense_wide","n=500, p=100","block","original",100,100,0,100,1,0.804999999998472
"sensitivity_dense_wide","n=500, p=100","block","quantile_2",100,100,0,200,0.5,2.43999999999869
"sensitivity_dense_wide","n=500, p=100","block","quantile_4",100,100,0,400,0.25,10.4699999999993
"sensitivity_dense_wide","n=500, p=100","block","quantile_8",100,100,0,800,0.125,23.6100000000006
"sensitivity_dense_wide","n=500, p=100","block","equal_width_4",100,100,0,400,0.25,10.0450000000055
