"path_specification","n","p","dimension","correlation","scheme","method","target","evaluated_replications","reached_target_percent","mean_selected_size"
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","glmnet","s",100,100,5.12
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","glmnet","2s",100,100,10.08
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","glmnet","s",100,100,5.09
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","glmnet","2s",100,100,10.07
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","lasso","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","lasso","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","lar","s",100,100,5
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","lar","2s",100,100,10
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","glmnet","s",100,100,5.07
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","glmnet","2s",100,100,10.1
"primary_controlled",100,100,"n=100, p=100","independent","original","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","independent","original","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","original","lar","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","independent","original","lar","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","original","glmnet","s",100,100,10.07
"primary_controlled",100,100,"n=100, p=100","independent","original","glmnet","2s",100,100,20.17
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","lasso","s",100,100,10
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","lasso","2s",100,100,20
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","lar","s",100,100,10
