"path_specification","n","p","dimension","correlation","scheme","metric","replications","mean","sd","se","ci_lower","ci_upper"
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","mean_support_f1",100,0.50069696969697,0.157458489834622,0.0157458489834622,0.469835105689384,0.531558833704556
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","mean_rmse",100,2.12882814181256,0.780757034295172,0.0780757034295172,1.97579976309071,2.28185652053442
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","f1_lasso",100,0.5,0.159544807043493,0.0159544807043493,0.468729217819475,0.531270782180525
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","f1_lar",100,0.5,0.159544807043493,0.0159544807043493,0.468729217819475,0.531270782180525
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","f1_glmnet",100,0.502090909090909,0.155693649721667,0.0155693649721667,0.471574953745462,0.532606864436356
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","rmse_lasso",100,2.10986141621262,0.77458616592546,0.077458616592546,1.95804252769123,2.26168030473401
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","rmse_lar",100,2.10986141621262,0.77458616592546,0.077458616592546,1.95804252769123,2.26168030473401
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","rmse_glmnet",100,2.16676159301244,0.795492133757108,0.0795492133757108,2.01084513479605,2.32267805122884
"primary_controlled",100,20,"n=100, p=20","block","quantile_4","elapsed_seconds",100,0.172899999999999,0.0754152812529706,0.00754152812529706,0.158118604874417,0.187681395125581
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","mean_entry_tau",100,0.99370172977561,0.00701811631335668,0.000701811631335668,0.992326178978192,0.995077280573028
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","mean_jaccard_s",100,0.987777777777778,0.0383439452446511,0.00383439452446511,0.980262364509826,0.995293191045729
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","mean_jaccard_2s",100,0.988762626262626,0.0352812658656675,0.00352812658656675,0.981847498152955,0.995677754372297
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","mean_support_f1",100,0.441515151515152,0.131470908955859,0.0131470908955859,0.415746853359803,0.4672834496705
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","mean_rmse",100,2.35946954006704,0.806145103484872,0.0806145103484872,2.201465099784,2.51747398035007
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","f1_lasso",100,0.442,0.13117957466039,0.013117957466039,0.416288803366564,0.467711196633436
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","f1_lar",100,0.442,0.13117957466039,0.013117957466039,0.416288803366564,0.467711196633436
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","f1_glmnet",100,0.440545454545455,0.132853004085526,0.0132853004085526,0.414506265744691,0.466584643346218
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","rmse_lasso",100,2.34430552550105,0.799204739145693,0.0799204739145693,2.18766139662849,2.50094965437361
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","rmse_lar",100,2.34462984803776,0.798877502112378,0.0798877502112378,2.18804985762373,2.50120983845179
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","rmse_glmnet",100,2.3894732466623,0.821863523941976,0.0821863523941976,2.22838799596968,2.55055849735493
"primary_controlled",100,20,"n=100, p=20","block","quantile_8","elapsed_seconds",100,0.3646,0.168914657789551,0.0168914657789551,0.331492727073248,0.397707272926752
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","mean_entry_tau",100,0.987103816824738,0.0151847807705434,0.00151847807705434,0.984127599793712,0.990080033855765
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","mean_jaccard_s",100,0.992222222222222,0.0284924888862492,0.00284924888862492,0.986637694400517,0.997806750043927
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","mean_jaccard_2s",100,0.965034965034965,0.0660247203106728,0.00660247203106728,0.952094119854073,0.977975810215857
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","mean_support_f1",100,0.422969696969697,0.128779095471029,0.0128779095471029,0.397728994257375,0.448210399682019
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","mean_rmse",100,2.33302122090133,0.811442228487952,0.0811442228487952,2.17397854411769,2.49206389768496
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","f1_lasso",100,0.422,0.129941711874396,0.0129941711874396,0.396531424472618,0.447468575527382
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","f1_lar",100,0.422,0.129941711874396,0.0129941711874396,0.396531424472618,0.447468575527382
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","f1_glmnet",100,0.424909090909091,0.128425970188469,0.0128425970188469,0.399737600752151,0.450080581066031
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","rmse_lasso",100,2.31676335424265,0.803562890441397,0.0803562890441397,2.15926502771614,2.47426168076916
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","rmse_lar",100,2.31676335424265,0.803562890441397,0.0803562890441397,2.15926502771614,2.47426168076916
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","rmse_glmnet",100,2.36553695421868,0.829012649232013,0.0829012649232014,2.2030504749692,2.52802343346815
"primary_controlled",100,20,"n=100, p=20","block","equal_width_4","elapsed_seconds",100,0.185699999999999,0.0903780499855566,0.00903780499855565,0.16798590220283,0.203414097797168
"primary_controlled",100,100,"n=100, p=100","independent","original","mean_entry_tau",100,0.957099963177878,0.0182123604825403,0.00182123604825403,0.9535303405233,0.960669585832456
"primary_controlled",100,100,"n=100, p=100","independent","original","mean_jaccard_s",100,0.995757575757576,0.0155413575743178,0.00155413575743178,0.992711469673009,0.998803681842142
"primary_controlled",100,100,"n=100, p=100","independent","original","mean_jaccard_2s",100,0.992756132756133,0.0166041528181974,0.00166041528181974,0.989501718803766,0.996010546708499
"primary_controlled",100,100,"n=100, p=100","independent","original","mean_support_f1",100,0.801730158730159,0.093049267552349,0.0093049267552349,0.783492502289898,0.819967815170419
"primary_controlled",100,100,"n=100, p=100","independent","original","mean_rmse",100,2.79043547287547,0.377703629981116,0.0377703629981116,2.71640556139917,2.86446538435176
"primary_controlled",100,100,"n=100, p=100","independent","original","f1_lasso",100,0.802,0.0931816949986868,0.00931816949986868,0.783736387780257,0.820263612219743
"primary_controlled",100,100,"n=100, p=100","independent","original","f1_lar",100,0.802,0.0931816949986868,0.00931816949986868,0.783736387780257,0.820263612219743
"primary_controlled",100,100,"n=100, p=100","independent","original","f1_glmnet",100,0.801190476190476,0.0932976318521002,0.00932976318521002,0.782904140347465,0.819476812033488
"primary_controlled",100,100,"n=100, p=100","independent","original","rmse_lasso",100,2.76492819098449,0.377746738395737,0.0377746738395737,2.69088983025893,2.83896655171006
"primary_controlled",100,100,"n=100, p=100","independent","original","rmse_lar",100,2.76492819098449,0.377746738395737,0.0377746738395737,2.69088983025893,2.83896655171006
"primary_controlled",100,100,"n=100, p=100","independent","original","rmse_glmnet",100,2.84145003665741,0.382847488165471,0.0382847488165471,2.76641192897698,2.91648814433785
"primary_controlled",100,100,"n=100, p=100","independent","original","elapsed_seconds",100,0.441400000000002,0.0930517397076771,0.00930517397076771,0.423161859017297,0.459638140982707
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","mean_entry_tau",100,0.943332128278274,0.0179264747090095,0.00179264747090095,0.939818539235308,0.94684571732124
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","mean_jaccard_s",100,0.988360528360528,0.0288784454661766,0.00288784454661766,0.982700353049158,0.994020703671899
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","mean_jaccard_2s",100,0.989747161051509,0.0208891055507093,0.00208891055507093,0.98565289636357,0.993841425739448
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","mean_support_f1",100,0.724927787188657,0.0928921247952082,0.00928921247952082,0.706720930728796,0.743134643648518
"primary_controlled",100,100,"n=100, p=100","independent","quantile_2","mean_rmse",100,3.10765371023209,0.384940932905111,0.0384940932905111,3.03220528738269,3.18310213308149
