"n","p","dimension","correlation","scheme","metric","paired_difference_mean_primary","paired_difference_ci_lower_primary","paired_difference_ci_upper_primary","paired_difference_mean_sensitivity","paired_difference_ci_lower_sensitivity","paired_difference_ci_upper_sensitivity","absolute_difference","same_sign","primary_direction","sensitivity_direction","same_ci_direction"
100,100,"n=100, p=100","independent","quantile_2","F1",-0.076802371541502,-0.0936014252647432,-0.0600033178182608,-0.0764805194805195,-0.0933678657286486,-0.0595931732323905,0.000321852060982494,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","quantile_2","RMSE",0.317218237356626,0.281926076941674,0.352510397771577,0.31704827498328,0.281651606083793,0.352444943882768,0.000169962373345267,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","independent","quantile_4","A_entry",-0.0105608255272016,-0.0158011039340185,-0.00532054712038468,-0.0123795367987441,-0.0175884576906725,-0.0071706159068157,0.00181871127154253,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","quantile_4","A_set_s",-0.0109324009324009,-0.0180229085142232,-0.00384189335057863,-0.00525252525252525,-0.0107197288909824,0.000214678385931898,0.00567987567987568,TRUE,"negative","includes_zero",FALSE
100,100,"n=100, p=100","independent","quantile_4","A_set_2s",-0.00594516594516595,-0.0106892610936795,-0.00120107079665239,-0.00246031746031746,-0.00685600934491227,0.00193537442427735,0.00348484848484849,TRUE,"negative","includes_zero",FALSE
100,100,"n=100, p=100","independent","quantile_4","F1",-0.225207854946985,-0.250484532760569,-0.199931177133402,-0.22620202020202,-0.251550402438333,-0.200853637965707,0.000994165255034818,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","quantile_4","RMSE",0.588130095273506,0.546875193536142,0.629384997010871,0.587771441277426,0.546510418483783,0.629032464071069,0.000358653996080482,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","independent","quantile_8","A_entry",-0.00393361567928396,-0.00860786194054046,0.000740630581972553,-0.00617547219019873,-0.0108845019983855,-0.00146644238201196,0.00224185651091478,TRUE,"includes_zero","negative",FALSE
100,100,"n=100, p=100","independent","quantile_8","A_set_s",-0.0172183372183372,-0.0251609453793042,-0.00927572905737028,-0.013962703962704,-0.0211476785249584,-0.00677772940044956,0.00325563325563325,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","quantile_8","A_set_2s",-0.00799799234581844,-0.0132795439128433,-0.00271644077879355,-0.00126984126984127,-0.00547088312183784,0.0029312005821553,0.00672815107597717,TRUE,"negative","includes_zero",FALSE
100,100,"n=100, p=100","independent","quantile_8","F1",-0.377114624505929,-0.404602280949103,-0.349626968062755,-0.376607691825083,-0.404318252211531,-0.348897131438635,0.000506932680845673,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","quantile_8","RMSE",0.839970333236654,0.794392647391893,0.885548019081414,0.839140953531602,0.793528176554261,0.884753730508942,0.000829379705052036,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","independent","equal_width_4","A_entry",-0.0112628751679151,-0.0162660872026499,-0.00625966313318031,-0.0126468348881958,-0.0176331387339908,-0.00766053104240077,0.00138395972028068,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","equal_width_4","A_set_s",-0.0142424242424243,-0.0214611837386122,-0.0070236647462363,-0.008989898989899,-0.0148581743543059,-0.00312162362549207,0.00525252525252525,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","equal_width_4","A_set_2s",-0.010262877219399,-0.0167256328099978,-0.00380012162880013,-0.00646715603237343,-0.0122325317317462,-0.000701780333000691,0.00379572118702554,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","equal_width_4","F1",-0.260083694083694,-0.285988950745168,-0.234178437422221,-0.260262626262626,-0.286376406588545,-0.234148845936707,0.000178932178932167,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","independent","equal_width_4","RMSE",0.74248840513495,0.698558883667936,0.786417926601965,0.742163704597263,0.698218813280679,0.786108595913847,0.000324700537687406,TRUE,"positive","positive",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","A_entry",-0.0104588308332459,-0.0170788704704373,-0.00383879119605451,-0.0116261727800018,-0.0183538537667034,-0.00489849179330013,0.00116734194675588,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","A_set_s",-0.00404040404040404,-0.0123737243262026,0.00429291624539455,-1.10928247924053e-18,-0.00593606001045351,0.00593606001045351,0.00404040404040404,TRUE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","A_set_2s",0.000739381391555303,-0.0064432236823405,0.0079219864654511,0.00316738816738817,-0.0034959346839434,0.00983071101871973,0.00242800677583286,TRUE,"includes_zero","includes_zero",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","F1",-0.0771717171717172,-0.0942000658360538,-0.0601433685073806,-0.0760937950937951,-0.0932224361936247,-0.0589651539939655,0.00107792207792208,TRUE,"negative","negative",TRUE
100,100,"n=100, p=100","ar1_rho_0.5","quantile_2","RMSE",0.290063822327791,0.262728249771225,0.317399394884357,0.290079725444887,0.262901882528926,0.317257568360847,1.59031170957613e-05,TRUE,"positive","positive",TRUE
