"path_specification","n","p","dimension","correlation","scheme","metric","replications","original_mean","original_sd","original_se","original_ci_lower","original_ci_upper","sparsified_mean","sparsified_sd","sparsified_se","sparsified_ci_lower","sparsified_ci_upper","paired_difference_mean","paired_difference_sd","paired_difference_se","paired_difference_ci_lower","paired_difference_ci_upper"
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","F1",100,0.541522841656988,0.0899698259162503,0.00899698259162503,0.523888755777403,0.559156927536573,0.309478001799045,0.0887172493009709,0.00887172493009709,0.292089420936055,0.326866582662036,-0.232044839857943,0.0984724378705489,0.00984724378705489,-0.25134543768057,-0.212744242035315
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.5","equal_width_4","RMSE",100,4.44988855135603,0.41231140375211,0.041231140375211,4.36907551622062,4.53070158649145,5.16914066194412,0.393988254721365,0.0393988254721365,5.09191896401874,5.24636235986951,0.71925211058809,0.211335918232875,0.0211335918232875,0.677830270614446,0.760673950561733
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","A_entry",100,0.82236177903616,0.0330682999259341,0.00330682999259341,0.815880392250677,0.828843165821643,0.840661066376127,0.0286389797295601,0.00286389797295601,0.835047826349133,0.846274306403121,0.0182992873399671,0.0409969058050282,0.00409969058050282,0.0102638938021815,0.0263346808777526
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","A_set_s",100,0.918027443570922,0.0702464546521714,0.00702464546521714,0.904259138459096,0.931795748682747,0.949543886065625,0.0508528758657935,0.00508528758657935,0.93957672239593,0.959511049735321,0.0315164424947034,0.0801766930957644,0.00801766930957644,0.0158018106479335,0.0472310743414732
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","A_set_2s",100,0.821589527461538,0.0647427980609773,0.00647427980609773,0.808899939041586,0.834279115881489,0.861338727743211,0.0605778815058922,0.00605778815058922,0.849465462968056,0.873211992518366,0.0397492002816736,0.0787312626851635,0.00787312626851635,0.0243178727953815,0.0551805277679656
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","F1",100,0.339323848238482,0.0798758985798588,0.00798758985798588,0.32366817211683,0.354979524360135,0.291660472319009,0.0799933360645853,0.00799933360645853,0.27598177845035,0.307339166187668,-0.0476633759194735,0.0778672516364071,0.00778672516364072,-0.0629253572402093,-0.0324013945987377
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9","quantile_2","RMSE",100,3.95359337894128,0.54815380780397,0.054815380780397,3.8461552326117,4.06103152527086,4.35097308139323,0.563307925504315,0.0563307925504315,4.24056472799438,4.46138143479207,0.39737970245195,0.162758944099223,0.0162758944099223,0.365478949408503,0.429280455495398
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9","quantile_4","A_entry",100,0.82236177903616,0.0330682999259341,0.00330682999259341,0.815880392250677,0.828843165821643,0.885913907367304,0.0262537437069634,0.00262537437069634,0.880768173600739,0.891059641133868,0.0635521283311439,0.0447233532346144,0.00447233532346144,0.0547863510971595,0.0723179055651283
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9","quantile_4","A_set_s",100,0.918027443570922,0.0702464546521714,0.00702464546521714,0.904259138459096,0.931795748682747,0.971416629023151,0.0427531690214797,0.00427531690214797,0.963037007894941,0.979796250151361,0.0533891854522289,0.0818249830118292,0.00818249830118293,0.0373514887819104,0.0694268821225475
"sensitivity_dense_wide",100,200,"n=100, p=200","ar1_rho_0.9","quantile_4","A_set_2s",100,0.821589527461538,0.0647427980609773,0.00647427980609773,0.808899939041586,0.834279115881489,0.922714407842357,0.051435627640749,0.0051435627640749,0.91263302482477,0.932795790859944,0.101124880380819,0.0800654950044441,0.00800654950044441,0.0854320433599482,0.11681771740169
