"path_specification","scenario_id","replication","seed","n","p","dimension","correlation","active_s","scheme","snr_component_lasso","noise_sd_component_lasso","method_component_lasso","group_weight_specification_component_lasso","delta_f1_s_component_lasso","delta_rmse_s_component_lasso","delta_f1_2s_component_lasso","delta_rmse_2s_component_lasso","entry_order_tau_original_vs_sparse_component_lasso","active_set_jaccard_s_original_vs_sparse_component_lasso","active_set_jaccard_2s_original_vs_sparse_component_lasso","original_parent_count_s_component_lasso","sparse_parent_count_s_component_lasso","original_component_count_s_component_lasso","original_target_reached_s_component_lasso","sparse_target_reached_s_component_lasso","original_target_exact_s_component_lasso","sparse_target_exact_s_component_lasso","df_definition_component_lasso","sparse_component_count_s_component_lasso","sparse_df_diagnostic_s_component_lasso","snr_group_lasso","noise_sd_group_lasso","method_group_lasso","group_weight_specification_group_lasso","delta_f1_s_group_lasso","delta_rmse_s_group_lasso","delta_f1_2s_group_lasso","delta_rmse_2s_group_lasso","entry_order_tau_original_vs_sparse_group_lasso","active_set_jaccard_s_original_vs_sparse_group_lasso","active_set_jaccard_2s_original_vs_sparse_group_lasso","original_parent_count_s_group_lasso","sparse_parent_count_s_group_lasso","original_component_count_s_group_lasso","original_target_reached_s_group_lasso","sparse_target_reached_s_group_lasso","original_target_exact_s_group_lasso","sparse_target_exact_s_group_lasso","df_definition_group_lasso","sparse_component_count_s_group_lasso","sparse_df_diagnostic_s_group_lasso","penalty_sensitivity_delta_f1_s","penalty_sensitivity_delta_rmse_s","penalty_sensitivity_delta_f1_2s","penalty_sensitivity_delta_rmse_2s","penalty_sensitivity_entry_tau"
"sensitivity_dense_wide",1,2,20360713,100,20,"n=100, p=20","independent",5,"equal_width_4",3,1.22580087702912,"component_lasso_glmnet","not_applicable",-0.272727272727273,0.5748222695768,0,0.713597555799556,0.416887994683692,0.571428571428571,0.538461538461538,5,6,5,TRUE,TRUE,TRUE,FALSE,"active_coefficient_count_proxy_excluding_intercept",7,7,3,1.22580087702912,"parent_group_lasso_grpreg","equal_parent",-0.2,0.0382519770955783,0,0.153296207690349,0.511875132712887,0.666666666666667,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,7.9628623161856,0.072727272727273,-0.536570292481222,0,-0.560301348109206,0.0949871380291956
"sensitivity_dense_wide",1,2,20360713,100,20,"n=100, p=20","independent",5,"quantile_2",3,1.22580087702912,"component_lasso_glmnet","not_applicable",0,0.171312013032519,0,0.166892161181101,0.778947368421053,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",9,9,3,1.22580087702912,"parent_group_lasso_grpreg","equal_parent",0,0.048302472215201,0,0.0521480326218811,0.786282420352785,1,0.818181818181818,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",10,3.91270435466817,0,-0.123009540817318,0,-0.11474412855922,0.00733505193173256
"sensitivity_dense_wide",1,2,20360713,100,20,"n=100, p=20","independent",5,"quantile_4",3,1.22580087702912,"component_lasso_glmnet","not_applicable",0,0.236869339311336,0,0.329525057483258,0.557894736842105,1,0.666666666666667,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",9,9,3,1.22580087702912,"parent_group_lasso_grpreg","equal_parent",-0.2,0.106099602995929,0,0.215936436327614,0.469658626922133,0.666666666666667,0.538461538461538,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",20,7.60955333513161,-0.2,-0.130769736315406,0,-0.113588621155644,-0.0882361099199719
"sensitivity_dense_wide",1,2,20360713,100,20,"n=100, p=20","independent",5,"quantile_8",3,1.22580087702912,"component_lasso_glmnet","not_applicable",-0.4,0.597236624831423,-0.133333333333333,0.927867423257587,0.273684210526316,0.428571428571429,0.333333333333333,5,5,5,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",6,6,3,1.22580087702912,"parent_group_lasso_grpreg","equal_parent",-0.2,0.146910794360284,-0.133333333333333,0.455677881142412,0.294736842105263,0.666666666666667,0.333333333333333,5,5,5,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,15.1288953050533,0.2,-0.450325830471139,0,-0.472189542115174,0.0210526315789474
"sensitivity_dense_wide",11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_width_4",3,3.08479218639384,"component_lasso_glmnet","not_applicable",-0.35,0.813825434817908,-0.133333333333333,1.02659179437993,0.228712387364878,0.25,0.290322580645161,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",22,22,3,3.08479218639384,"parent_group_lasso_grpreg","equal_parent",-0.15,0.464789978491808,-0.169945355191257,0.79981301058044,0.259865983949981,0.428571428571429,0.285714285714286,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",80,14.9560806518666,0.2,-0.3490354563261,-0.0366120218579235,-0.226778783799486,0.0311535965851034
"sensitivity_dense_wide",11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_2",3,3.08479218639384,"component_lasso_glmnet","not_applicable",-0.2,0.494510971252914,0,0.351567766852732,0.413844065897213,0.428571428571429,0.454545454545455,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",22,22,3,3.08479218639384,"parent_group_lasso_grpreg","equal_parent",-0.1,0.320763059380293,0,0.335954400102461,0.350175705708364,0.428571428571429,0.379310344827586,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,10.7272868962741,0.1,-0.173747911872621,0,-0.0156133667502711,-0.0636683601888492
"sensitivity_dense_wide",11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_4",3,3.08479218639384,"component_lasso_glmnet","not_applicable",-0.15,0.80386945243416,-0.0666666666666667,0.84273400838098,0.234305598758438,0.212121212121212,0.290322580645161,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",22,22,3,3.08479218639384,"parent_group_lasso_grpreg","equal_parent",-0.157317073170732,0.556503398420344,-0.104371584699454,0.867942271997447,0.232014232993284,0.366666666666667,0.227272727272727,20,21,20,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",84,12.760550996129,-0.00731707317073171,-0.247366054013816,-0.0377049180327869,0.0252082636164666,-0.00229136576515426
"sensitivity_dense_wide",11,1,21360712,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_8",3,3.08479218639384,"component_lasso_glmnet","not_applicable",-0.2,1.02663907347669,-0.133333333333333,1.34629516246476,0.169458912562212,0.25,0.194029850746269,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",23,23,3,3.08479218639384,"parent_group_lasso_grpreg","equal_parent",-0.35,0.708466512161998,-0.2,1.03220275656356,0.156563401652973,0.212121212121212,0.212121212121212,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",160,21.429718055406,-0.15,-0.318172561314694,-0.0666666666666667,-0.314092405901205,-0.012895510909239
"sensitivity_dense_wide",11,2,21360713,100,200,"n=100, p=200","ar1_rho_0.9",20,"equal_width_4",3,2.54075384703566,"component_lasso_glmnet","not_applicable",-0.25,0.665690472520323,-0.157588577472237,0.933216219431513,0.239678248485962,0.176470588235294,0.220588235294118,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",21,21,3,2.54075384703566,"parent_group_lasso_grpreg","equal_parent",-0.2,0.435119821039752,-0.253763440860215,0.879664709172256,0.188541905463139,0.25,0.138888888888889,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",80,17.6354200399995,0.0500000000000001,-0.230570651480571,-0.0961748633879781,-0.0535515102592572,-0.0511363430228234
"sensitivity_dense_wide",11,2,21360713,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_2",3,2.54075384703566,"component_lasso_glmnet","not_applicable",-0.0500000000000001,0.269137464349236,-0.0204301075268816,0.347148746270682,0.403038296279907,0.428571428571429,0.464285714285714,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",20,20,3,2.54075384703566,"parent_group_lasso_grpreg","equal_parent",-0.0500000000000001,0.275170285313939,0.00634584875727134,0.450800756438973,0.322530109926835,0.379310344827586,0.338709677419355,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",40,9.50255693550251,0,0.00603282096470314,0.026775956284153,0.103652010168291,-0.0805081863530711
"sensitivity_dense_wide",11,2,21360713,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_4",3,2.54075384703566,"component_lasso_glmnet","not_applicable",-0.2,0.540901930974497,-0.153763440860215,0.894862910337128,0.264940046680433,0.212121212121212,0.188405797101449,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",23,23,3,2.54075384703566,"parent_group_lasso_grpreg","equal_parent",-0.253658536585366,0.445673569169608,-0.0870967741935483,0.840267841509566,0.295565473533577,0.205882352941176,0.261538461538462,20,21,20,TRUE,TRUE,TRUE,FALSE,"grpreg_approximate_df_excluding_intercept",84,19.5836174466054,-0.0536585365853659,-0.0952283618048892,0.0666666666666667,-0.0545950688275618,0.0306254268531437
"sensitivity_dense_wide",11,2,21360713,100,200,"n=100, p=200","ar1_rho_0.9",20,"quantile_8",3,2.54075384703566,"component_lasso_glmnet","not_applicable",-0.2,0.810524563047687,-0.220430107526882,1.22589881242198,0.0491536541105313,0.142857142857143,0.108108108108108,20,20,20,TRUE,TRUE,TRUE,TRUE,"active_coefficient_count_proxy_excluding_intercept",24,24,3,2.54075384703566,"parent_group_lasso_grpreg","equal_parent",-0.25,0.639262405146912,-0.153763440860215,0.971593952028615,0.188470006180487,0.176470588235294,0.171428571428571,20,20,20,TRUE,TRUE,TRUE,TRUE,"grpreg_approximate_df_excluding_intercept",160,25.3588426141423,-0.0500000000000001,-0.171262157900774,0.0666666666666667,-0.254304860393363,0.139316352069955
