"path_specification","scenario_id","representation","scheme","method","group_weight_specification","df_definition","replications","target_reached_s_mean","target_exact_s_mean","target_reached_2s_mean","target_exact_2s_mean","selected_parent_count_s_mean","selected_component_count_s_mean","selected_parent_count_2s_mean","selected_component_count_2s_mean"
"primary_controlled",8,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.86,1,0.86,10.14,20.28,20.17,40.34
"primary_controlled",8,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.87,1,0.88,10.13,20.26,20.12,40.24
"primary_controlled",8,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.83,1,0.75,10.2,11.48,20.37,23.69
"primary_controlled",8,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.8,1,0.83,10.24,40.96,20.2,80.8
"primary_controlled",8,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.82,1,0.81,10.19,40.76,20.21,80.84
"primary_controlled",8,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.77,1,0.62,10.27,11.41,20.47,23.7
"primary_controlled",8,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.84,1,0.72,10.22,81.76,20.36,162.88
"primary_controlled",8,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.79,1,0.81,10.24,81.92,20.24,161.92
"primary_controlled",9,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.69,1,0.73,20.33,20.33,40.32,40.32
"primary_controlled",9,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.7,1,0.72,20.32,20.32,40.33,40.33
"primary_controlled",9,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.7,1,0.72,20.32,20.32,40.33,40.33
"primary_controlled",9,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.65,1,0.56,20.53,22.3,40.56,46.13
"primary_controlled",9,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",100,1,0.67,1,0.82,20.44,81.76,40.22,160.88
"primary_controlled",9,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",100,1,0.7,1,0.81,20.39,81.56,40.23,160.92
"primary_controlled",9,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",100,1,0.66,1,0.6,20.42,23.07,40.54,46.09
