"path_specification","n","p","dimension","correlation","active_s","scheme","penalty_sensitivity_delta_f1_s_mean","penalty_sensitivity_delta_f1_s_n","penalty_sensitivity_delta_f1_s_ci_low","penalty_sensitivity_delta_f1_s_ci_high","penalty_sensitivity_delta_rmse_s_mean","penalty_sensitivity_delta_rmse_s_n","penalty_sensitivity_delta_rmse_s_ci_low","penalty_sensitivity_delta_rmse_s_ci_high","penalty_sensitivity_delta_f1_2s_mean","penalty_sensitivity_delta_f1_2s_n","penalty_sensitivity_delta_f1_2s_ci_low","penalty_sensitivity_delta_f1_2s_ci_high","penalty_sensitivity_delta_rmse_2s_mean","penalty_sensitivity_delta_rmse_2s_n","penalty_sensitivity_delta_rmse_2s_ci_low","penalty_sensitivity_delta_rmse_2s_ci_high","penalty_sensitivity_entry_tau_mean","penalty_sensitivity_entry_tau_n","penalty_sensitivity_entry_tau_ci_low","penalty_sensitivity_entry_tau_ci_high"
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5",10,"equal_width_4",0.0829518162996424,100,0.0590726580448217,0.106830974554463,-0.341970336363923,100,-0.371025692818603,-0.312914979909243,0.0591063912368466,100,0.0442781754896887,0.0739346069840046,-0.391367055854741,100,-0.4185800572531,-0.364154054456381,0.0407691021688928,100,0.0300814912635344,0.0514567130742513
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5",10,"quantile_2",-0.00397835497835497,100,-0.0193840502507059,0.011427340293996,-0.0924910784379099,100,-0.109681568884356,-0.0753005879914637,-0.00252847018572825,100,-0.0105616679470628,0.00550472757560633,-0.0888824552524753,100,-0.108808913867436,-0.0689559966375143,-0.0469950474050292,100,-0.0553618030512156,-0.0386282917588428
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5",10,"quantile_4",0.0182077922077922,100,-0.000524451865065691,0.0369400362806501,-0.187858534469834,100,-0.213112499103737,-0.162604569835931,0.00560483870967742,100,-0.00883295498321002,0.0200426324025649,-0.171020162913607,100,-0.191641057802154,-0.150399268025061,0.0058037190591137,100,-0.00618572486854158,0.017793162986769
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.5",10,"quantile_8",0.0757521174477696,100,0.052747479932732,0.0987567549628072,-0.239563724644682,100,-0.265253706774126,-0.213873742515238,0.0442671065493646,100,0.0253925537998143,0.063141659298915,-0.26587405390011,100,-0.290874434696211,-0.240873673104009,0.0410670991602192,100,0.0275681681306553,0.0545660301897831
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9",10,"equal_width_4",0.0707835497835498,100,0.0503576596010664,0.0912094399660332,-0.381211210938924,100,-0.420108943288495,-0.342313478589352,0.0349871700879765,100,0.0167306484284173,0.0532436917475358,-0.325600627516546,100,-0.358978866835131,-0.292222388197961,0.0369834240306704,100,0.0255620759743606,0.0484047720869802
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9",10,"quantile_2",0.0173116883116883,100,-8.25980608055547e-05,0.0347059746841822,-0.169270202089861,100,-0.197652268102307,-0.140888136077415,0.00512365591397849,100,-0.00833268161133607,0.018579993439293,-0.0944928837073888,100,-0.113020401606209,-0.0759653658085687,-0.0258254501469638,100,-0.0359996065976221,-0.0156512936963054
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9",10,"quantile_4",0.00324242424242425,100,-0.0179633452210408,0.0244481937058893,-0.216048693223129,100,-0.246718852089486,-0.185378534356771,-0.00201344086021506,100,-0.0191453317842642,0.0151184500638341,-0.13413083445362,100,-0.155553165570551,-0.11270850333669,0.0134091612974685,100,0.00155919371931827,0.0252591288756186
"primary_controlled",100,100,"n=100, p=100","ar1_rho_0.9",10,"quantile_8",0.0294025974025974,100,0.0102698710299445,0.0485353237752503,-0.295524126668136,100,-0.329945401226564,-0.261102852109708,0.0245626606947764,100,0.00838448943082363,0.0407408319587293,-0.278118586169,100,-0.309876313309752,-0.246360859028248,0.0446033859281958,100,0.0315074583386082,0.0576993135177835
"primary_controlled",100,100,"n=100, p=100","block",10,"equal_width_4",0.0968309806135893,100,0.0740570259316241,0.119604935295555,-0.377685358992319,100,-0.413436120025261,-0.341934597959378,0.0551402737047898,100,0.0398980960357202,0.0703824513738595,-0.358728400351705,100,-0.389837773836836,-0.327619026866574,0.0545022330311752,100,0.0438211335235099,0.0651833325388404
"primary_controlled",100,100,"n=100, p=100","block",10,"quantile_2",0.0504761904761905,100,0.0327148445347344,0.0682375364176465,-0.158621559392445,100,-0.183622240854771,-0.133620877930119,0.0195912397216951,100,0.00893592659389916,0.0302465528494911,-0.100906872983306,100,-0.122822697859042,-0.0789910481075711,-0.0262026161688827,100,-0.0362718321117285,-0.0161334002260368
"primary_controlled",100,100,"n=100, p=100","block",10,"quantile_4",0.0167142857142857,100,-0.00480370023299026,0.0382322716615617,-0.225877922504116,100,-0.255691426957256,-0.196064418050976,0.0144894198148468,100,-0.000880823143879092,0.0298596627735726,-0.117952143116658,100,-0.142974779910988,-0.0929295063223291,0.00931160155827032,100,-0.00260407453634058,0.0212272776528812
"primary_controlled",100,100,"n=100, p=100","block",10,"quantile_8",0.0425285149632976,100,0.0193218251755925,0.0657352047510026,-0.29035806066572,100,-0.320270305651747,-0.260445815679693,0.0464711057443505,100,0.0305412653514028,0.0624009461372983,-0.267990836422149,100,-0.294178851753803,-0.241802821090495,0.0461689070111821,100,0.0324612159113106,0.0598765981110536
"primary_controlled",100,100,"n=100, p=100","independent",10,"equal_width_4",0.0654935064935065,100,0.0429501026250268,0.0880369103619862,-0.290965543457032,100,-0.317474911265843,-0.26445617564822,0.0516403958944281,100,0.0370067210701764,0.0662740707186799,-0.376489292462735,100,-0.401965229102327,-0.351013355823143,0.0316147356939244,100,0.0220459346490216,0.0411835367388271
"primary_controlled",100,100,"n=100, p=100","independent",10,"quantile_2",-0.00800414078674948,100,-0.0219057964270035,0.00589751485350453,-0.0786224405388442,100,-0.0959376755775974,-0.0613072055000909,-0.00143438416422287,100,-0.00763101305064152,0.00476224472219577,-0.073022582656076,100,-0.0913627779148905,-0.0546823873972614,-0.0502689773453803,100,-0.0591162105743981,-0.0414217441163626
"primary_controlled",100,100,"n=100, p=100","independent",10,"quantile_4",0.0161257293431206,100,-0.00632127235957924,0.0385727310458205,-0.137216487773237,100,-0.15756451228765,-0.116868463258825,0.00729838709677419,100,-0.00542599376832701,0.0200227679618754,-0.148438330677855,100,-0.17446430502674,-0.122412356328969,0.00860985414269277,100,-0.00230113560607167,0.0195208438914572
"primary_controlled",100,100,"n=100, p=100","independent",10,"quantile_8",0.0652635987201204,100,0.0399661884746524,0.0905610089655884,-0.199932659823314,100,-0.22124382191559,-0.178621497731038,0.048488880742913,100,0.0331583755925508,0.0638193858932752,-0.230925495642335,100,-0.256703873504173,-0.205147117780497,0.0482812616531047,100,0.0355830981701968,0.0609794251360126
"primary_controlled",100,200,"n=100, p=200","ar1_rho_0.5",20,"equal_width_4",0.0388835588688113,100,0.0248030636473355,0.0529640540902871,-0.176136494434022,100,-0.198526217101214,-0.153746771766829,0.0329353075973912,100,0.0211993724529964,0.0446712427417859,-0.218185818698461,100,-0.246767393731888,-0.189604243665033,0.0179226332169729,100,0.00845660660238722,0.0273886598315586
