"path_specification","scenario_id","replication","seed","n","p","correlation","representation","scheme","abs_f1_difference","abs_rmse_difference","abs_parent_count_difference_s","abs_parent_count_difference_2s","relative_noise_sd_difference","component_dimension_difference","raw_density_difference","lambda_max_relative_difference","requested_points_difference","requested_ratio_difference","archived_returned_points","current_returned_points","archived_jerr"
"primary_controlled",1,10,20360721,100,20,"independent","original","original",1.11022302462516e-16,1.33226762955019e-15,0,0,2.02137448409758e-15,0,0,1.66533453693773e-15,0,0,200,200,0
"primary_controlled",1,10,20360721,100,20,"independent","sparsified","quantile_2",0,3.99680288865056e-15,0,0,2.02137448409758e-15,0,0,2.66453525910038e-15,0,0,200,200,0
"primary_controlled",1,10,20360721,100,20,"independent","sparsified","quantile_4",0,4.44089209850063e-16,0,0,2.02137448409758e-15,0,0,1.4432899320127e-15,0,0,200,200,0
"primary_controlled",1,10,20360721,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,4.44089209850063e-15,0,0,2.02137448409758e-15,0,0,2.88657986402541e-15,0,0,200,200,0
"primary_controlled",1,10,20360721,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,4.44089209850063e-15,0,0,2.02137448409758e-15,0,0,2.88657986402541e-15,0,0,200,200,0
"primary_controlled",1,11,20360722,100,20,"independent","original","original",0,3.33066907387547e-15,0,0,2.53770329097129e-15,0,0,3.10862446895044e-15,0,0,200,200,0
"primary_controlled",1,11,20360722,100,20,"independent","sparsified","quantile_2",1.11022302462516e-16,4.66293670342566e-15,0,0,2.53770329097129e-15,0,0,2.33146835171283e-15,0,0,200,200,0
"primary_controlled",1,11,20360722,100,20,"independent","sparsified","quantile_4",0,1.33226762955019e-15,0,0,2.53770329097129e-15,0,0,1.11022302462516e-15,0,0,200,200,0
"primary_controlled",1,11,20360722,100,20,"independent","sparsified","quantile_8",0,8.88178419700125e-16,0,0,2.53770329097129e-15,0,0,1.55431223447522e-15,0,0,200,200,0
"primary_controlled",1,11,20360722,100,20,"independent","sparsified","equal_width_4",0,3.10862446895044e-15,0,0,2.53770329097129e-15,0,0,1.33226762955019e-15,0,0,200,200,0
"primary_controlled",1,12,20360723,100,20,"independent","original","original",0,3.99680288865056e-15,0,0,1.60080066851663e-15,0,0,1.4432899320127e-15,0,0,200,200,0
"primary_controlled",1,12,20360723,100,20,"independent","sparsified","quantile_2",0,0,0,0,1.60080066851663e-15,0,0,1.11022302462516e-15,0,0,200,200,0
"primary_controlled",1,12,20360723,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,4.88498130835069e-15,0,0,1.60080066851663e-15,0,0,2.88657986402541e-15,0,0,200,200,0
"primary_controlled",1,12,20360723,100,20,"independent","sparsified","quantile_8",0,4.44089209850063e-15,0,0,1.60080066851663e-15,0,0,6.66133814775094e-16,0,0,200,200,0
"primary_controlled",1,12,20360723,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,3.5527136788005e-15,0,0,1.60080066851663e-15,0,0,1.33226762955019e-15,0,0,200,200,0
"primary_controlled",1,13,20360724,100,20,"independent","original","original",0,4.44089209850063e-15,0,0,2.67920828504297e-15,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,13,20360724,100,20,"independent","sparsified","quantile_2",0,1.33226762955019e-15,0,0,2.67920828504297e-15,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,13,20360724,100,20,"independent","sparsified","quantile_4",0,3.10862446895044e-15,0,0,2.67920828504297e-15,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,13,20360724,100,20,"independent","sparsified","quantile_8",4.44089209850063e-16,3.10862446895044e-15,0,0,2.67920828504297e-15,0,0,0,0,0,200,200,0
"primary_controlled",1,13,20360724,100,20,"independent","sparsified","equal_width_4",0,4.88498130835069e-15,0,0,2.67920828504297e-15,0,0,3.33066907387547e-16,0,0,200,200,0
"primary_controlled",1,14,20360725,100,20,"independent","original","original",0,2.22044604925031e-15,0,0,1.45353520466427e-15,0,0,3.77475828372553e-15,0,0,200,200,0
"primary_controlled",1,14,20360725,100,20,"independent","sparsified","quantile_2",0,2.88657986402541e-15,0,0,1.45353520466427e-15,0,0,6.66133814775094e-16,0,0,200,200,0
"primary_controlled",1,14,20360725,100,20,"independent","sparsified","quantile_4",0,2.66453525910038e-15,0,0,1.45353520466427e-15,0,0,3.10862446895044e-15,0,0,200,200,0
"primary_controlled",1,14,20360725,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,1.33226762955019e-15,0,0,1.45353520466427e-15,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,14,20360725,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,2.44249065417534e-15,0,0,1.45353520466427e-15,0,0,5.55111512312578e-16,0,0,200,200,0
"primary_controlled",1,15,20360726,100,20,"independent","original","original",0,4.44089209850063e-16,0,0,4.24245360111783e-16,0,0,2.44249065417534e-15,0,0,200,200,0
"primary_controlled",1,15,20360726,100,20,"independent","sparsified","quantile_2",0,1.33226762955019e-15,0,0,4.24245360111783e-16,0,0,1.11022302462516e-15,0,0,200,200,0
"primary_controlled",1,15,20360726,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,2.22044604925031e-15,0,0,4.24245360111783e-16,0,0,5.55111512312578e-16,0,0,200,200,0
"primary_controlled",1,15,20360726,100,20,"independent","sparsified","quantile_8",0,3.5527136788005e-15,0,0,4.24245360111783e-16,0,0,1.33226762955019e-15,0,0,200,200,0
"primary_controlled",1,15,20360726,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,4.44089209850063e-16,0,0,4.24245360111783e-16,0,0,1.88737914186277e-15,0,0,200,200,0
"primary_controlled",1,16,20360727,100,20,"independent","original","original",0,1.33226762955019e-15,0,0,2.47159261970809e-15,0,0,8.88178419700125e-16,0,0,200,200,0
"primary_controlled",1,16,20360727,100,20,"independent","sparsified","quantile_2",0,8.88178419700125e-16,0,0,2.47159261970809e-15,0,0,1.99840144432528e-15,0,0,200,200,0
"primary_controlled",1,16,20360727,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,0,0,0,2.47159261970809e-15,0,0,1.11022302462516e-15,0,0,200,200,0
"primary_controlled",1,16,20360727,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,3.99680288865056e-15,0,0,2.47159261970809e-15,0,0,2.22044604925031e-16,0,0,200,200,0
"primary_controlled",1,16,20360727,100,20,"independent","sparsified","equal_width_4",0,1.33226762955019e-15,0,0,2.47159261970809e-15,0,0,3.33066907387547e-15,0,0,200,200,0
"primary_controlled",1,17,20360728,100,20,"independent","original","original",1.11022302462516e-16,4.44089209850063e-15,0,0,4.72639015416777e-16,0,0,2.55351295663786e-15,0,0,200,200,0
"primary_controlled",1,17,20360728,100,20,"independent","sparsified","quantile_2",1.11022302462516e-16,4.66293670342566e-15,0,0,4.72639015416777e-16,0,0,4.44089209850063e-16,0,0,200,200,0
"primary_controlled",1,17,20360728,100,20,"independent","sparsified","quantile_4",1.11022302462516e-16,3.99680288865056e-15,0,0,4.72639015416777e-16,0,0,3.33066907387547e-15,0,0,200,200,0
"primary_controlled",1,17,20360728,100,20,"independent","sparsified","quantile_8",1.11022302462516e-16,2.22044604925031e-15,0,0,4.72639015416777e-16,0,0,2.44249065417534e-15,0,0,200,200,0
"primary_controlled",1,17,20360728,100,20,"independent","sparsified","equal_width_4",1.11022302462516e-16,1.33226762955019e-15,0,0,4.72639015416777e-16,0,0,2.99760216648792e-15,0,0,200,200,0
