"dimension","correlation","scheme","method","group_weight_specification","df_definition","delta_f1_s_mean","delta_f1_s_ci_low","delta_f1_s_ci_high","delta_rmse_s_mean","delta_rmse_s_ci_low","delta_rmse_s_ci_high","entry_order_tau_original_vs_sparse_mean","active_set_jaccard_s_original_vs_sparse_mean","sparse_component_count_s_mean","sparse_df_diagnostic_s_mean"
"n=100, p=200","ar1_rho_0.5","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.202174693208726,-0.221648924333447,-0.182700462084005,0.604107249664967,0.566897896980543,0.641316602349391,0.253068476667889,0.332975430379846,22.75,22.75
"n=100, p=200","ar1_rho_0.5","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.199552588931205,-0.218449478615339,-0.18065569924707,0.555202798589912,0.516493082700836,0.593912514478988,0.249971101831088,0.341430044339265,81.44,13.5986144819163
"n=100, p=200","ar1_rho_0.5","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.29358754508868,-0.31656764797712,-0.270607442200239,0.80242825328276,0.756719024811257,0.848137481754263,0.143171544487705,0.192931537272281,21.82,21.82
"n=100, p=200","ar1_rho_0.5","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.276599586743376,-0.298985717155867,-0.254213456330885,0.715384284751282,0.670774109895582,0.759994459606982,0.180349664659985,0.22891217679913,161.92,23.0796848636755
"n=100, p=200","ar1_rho_0.9","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.128043135348297,-0.14718326974397,-0.108903000952624,0.925823473087636,0.87358925369902,0.978057692476253,0.181035302005521,0.234012731597237,22.07,22.07
"n=100, p=200","ar1_rho_0.9","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0894641979310159,-0.107189200703428,-0.071739195158604,0.566419022704417,0.531686437955697,0.601151607453136,0.221919353076212,0.31724889597649,81.28,16.3524460149296
"n=100, p=200","ar1_rho_0.9","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0504924506387921,-0.0660779603051942,-0.03490694097239,0.392183822876331,0.358905863986145,0.425461781766516,0.379290854172327,0.437500091635798,21.6,21.6
"n=100, p=200","ar1_rho_0.9","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0520110336817654,-0.0663896516775869,-0.0376324156859439,0.278615796738485,0.251730514068074,0.305501079408897,0.356612535065048,0.509573692658217,40.32,9.94472325243641
"n=100, p=200","ar1_rho_0.9","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.113468006374416,-0.132752225315525,-0.0941837874333068,0.704353733798925,0.662860413421101,0.745847054176749,0.196065132832873,0.272605557162258,22.03,22.03
"n=100, p=200","ar1_rho_0.9","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.114778448531994,-0.131364409196527,-0.0981924878674602,0.581640384371763,0.548656474514496,0.61462429422903,0.199121975180605,0.300658444359742,80.92,16.2990978709645
"n=100, p=200","ar1_rho_0.9","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.151221416416822,-0.170384567461184,-0.13205826537246,1.06751159538275,1.01415887716599,1.12086431359951,0.12719159328879,0.18620627517001,22.12,22.12
"n=100, p=200","ar1_rho_0.9","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.131295005807201,-0.149694110873714,-0.112895900740688,0.811062318699393,0.767287983467996,0.854836653930791,0.153049227179253,0.241385327594359,162,25.2565831247045
"n=100, p=200","block","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.154608338060125,-0.172509049882499,-0.136707626237751,0.90951067087998,0.857840471202582,0.961180870557377,0.175880128831735,0.233272585486896,21.99,21.99
"n=100, p=200","block","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.119770534532588,-0.136505861194235,-0.103035207870941,0.587494490461899,0.5487456850247,0.626243295899099,0.21889890787475,0.307710138387329,81.28,15.3335741346058
"n=100, p=200","block","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.0637453204764606,-0.0781232213005444,-0.0493674196523768,0.398193849459607,0.365090706540317,0.431296992378896,0.401073706347274,0.466278078871864,21.84,21.84
"n=100, p=200","block","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.0503135483348189,-0.0644223368504208,-0.036204759819217,0.2747518138679,0.24595860697649,0.30354502075931,0.362122202122484,0.52493584165517,40.5,9.72126706723852
"n=100, p=200","block","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.125476060335958,-0.141307694437321,-0.109644426234596,0.72220237751937,0.680421512742049,0.763983242296691,0.209458532788908,0.292855508021959,21.99,21.99
"n=100, p=200","block","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",-0.116672892526267,-0.133343959994046,-0.100001825058489,0.573597233287067,0.538263664673014,0.60893080190112,0.211400004192661,0.306990161316149,81.32,16.035323419829
"n=100, p=200","block","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",-0.183697701428842,-0.203623809037819,-0.163771593819865,1.04774487773467,0.994420641739652,1.1010691137297,0.124178226118895,0.182355757373646,21.67,21.67
