"scenario_id","replication","seed","n","p","dimension","correlation","active_s","snr","noise_sd","path_specification","group_weight_specification","lambda_scale_relative_error","max_training_prediction_rms_over_sd_y","f1_difference_group_minus_glmnet_s","rmse_difference_group_minus_glmnet_s","f1_difference_group_minus_glmnet_2s","rmse_difference_group_minus_glmnet_2s","entry_order_tau_glmnet_vs_group","active_set_jaccard_s_glmnet_vs_group","active_set_jaccard_2s_glmnet_vs_group"
1,19,20360730,100,20,"n=100, p=20","independent",5,3,1.33263095704514,"primary_controlled","sqrt_group_size",1.88737914186277e-15,1.51117665282127e-05,0,5.70747001660266e-07,0,8.62159381664895e-07,1,1,1
1,20,20360731,100,20,"n=100, p=20","independent",5,3,1.70040136019807,"primary_controlled","equal_parent",4.44089209850063e-16,3.14227623723625e-05,0,-5.56143442409507e-09,0,-4.3740374477963e-07,1,1,1
1,20,20360731,100,20,"n=100, p=20","independent",5,3,1.70040136019807,"primary_controlled","sqrt_group_size",4.44089209850063e-16,3.14227623723625e-05,0,-5.56143442409507e-09,0,-4.3740374477963e-07,1,1,1
1,21,20360732,100,20,"n=100, p=20","independent",5,3,1.64036895834521,"primary_controlled","equal_parent",4.44089209850063e-16,5.21547250141295e-05,0,-1.83024173816548e-06,0,7.12674912284328e-06,1,1,1
1,21,20360732,100,20,"n=100, p=20","independent",5,3,1.64036895834521,"primary_controlled","sqrt_group_size",4.44089209850063e-16,5.21547250141295e-05,0,-1.83024173816548e-06,0,7.12674912284328e-06,1,1,1
1,22,20360733,100,20,"n=100, p=20","independent",5,3,1.21093410397586,"primary_controlled","equal_parent",1.11022302462516e-15,5.04145582810929e-05,0,1.91521426717856e-07,0,5.2679978379544e-08,1,1,1
1,22,20360733,100,20,"n=100, p=20","independent",5,3,1.21093410397586,"primary_controlled","sqrt_group_size",1.11022302462516e-15,5.04145582810929e-05,0,1.91521426717856e-07,0,5.2679978379544e-08,1,1,1
1,23,20360734,100,20,"n=100, p=20","independent",5,3,1.21425240885697,"primary_controlled","equal_parent",6.66133814775094e-16,5.18053765051798e-05,0,2.51253765792825e-07,0,2.26401720615499e-06,1,1,1
1,23,20360734,100,20,"n=100, p=20","independent",5,3,1.21425240885697,"primary_controlled","sqrt_group_size",6.66133814775094e-16,5.18053765051798e-05,0,2.51253765792825e-07,0,2.26401720615499e-06,1,1,1
1,24,20360735,100,20,"n=100, p=20","independent",5,3,1.47362204034708,"primary_controlled","equal_parent",1.11022302462516e-15,3.32304181367484e-05,0,-1.81091816342516e-06,0,-3.91362909413218e-07,1,1,1
1,24,20360735,100,20,"n=100, p=20","independent",5,3,1.47362204034708,"primary_controlled","sqrt_group_size",1.11022302462516e-15,3.32304181367484e-05,0,-1.81091816342516e-06,0,-3.91362909413218e-07,1,1,1
1,25,20360736,100,20,"n=100, p=20","independent",5,3,1.36005539292636,"primary_controlled","equal_parent",6.66133814775094e-16,2.59259117772353e-05,0,4.86388596065979e-08,0,1.77732012884846e-07,1,1,1
1,25,20360736,100,20,"n=100, p=20","independent",5,3,1.36005539292636,"primary_controlled","sqrt_group_size",6.66133814775094e-16,2.59259117772353e-05,0,4.86388596065979e-08,0,1.77732012884846e-07,1,1,1
1,26,20360737,100,20,"n=100, p=20","independent",5,3,1.24265010957859,"primary_controlled","equal_parent",1.11022302462516e-15,3.51343513588679e-05,0,-6.90335109077012e-07,0,9.33755549881177e-06,1,1,1
