"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"breast_tissue","sparsified","kmeans",6,"total_withinss",30,2045.04376207374,0,0,2045.04376207374,2045.04376207374,2045.04376207374,2045.04376207374,0.95
"breast_tissue","sparsified","kmeans",6,"runtime_sec",30,0.0106666666666683,0.0082768198679453,0.00151113364869352,0.00757605133513619,0.0137572819982005,0,0.0200000000000387,0.95
"hcv","original","kmeans",5,"adjusted_rand_index",30,0.0902007489235031,0.0309498979932223,0.00565065242779057,0.0786438670807967,0.10175763076621,0.0670242185350035,0.170734549254177,0.95
"hcv","original","kmeans",5,"clustering_accuracy",30,0.442113821138211,0.0592784654677603,0.0108227175703278,0.419978878354947,0.464248763921476,0.4,0.55609756097561,0.95
"hcv","original","kmeans",5,"purity",30,0.898373983739837,0.00330072876466345,0.000602627866870777,0.897141471363338,0.899606496116337,0.891056910569106,0.902439024390244,0.95
"hcv","original","kmeans",5,"silhouette",30,0.212213748390169,0.0326484557429438,0.0059607652260398,0.200022614660079,0.22440488212026,0.186222422811899,0.267688873490355,0.95
"hcv","original","kmeans",5,"normalized_mutual_information",30,0.174761572037331,0.0302340296731014,0.00551995335207939,0.163471999818468,0.186051144256193,0.140686883817177,0.245528938048291,0.95
"hcv","original","kmeans",5,"davies_bouldin",30,1.63228345758688,0.148581834585616,0.0271272074793476,1.57680208874183,1.68776482643192,1.43121890629482,1.92328159728694,0.95
"hcv","original","kmeans",5,"calinski_harabasz",30,97.6698396978909,1.53275927566276,0.279842276835257,97.0974979781856,98.2421814175963,94.0873879708124,100.014802495243,0.95
"hcv","original","kmeans",5,"total_withinss",30,4865.89201469767,29.9838950336786,5.47428522393764,4854.69584428818,4877.08818510716,4820.52928371569,4936.40412843857,0.95
"hcv","original","kmeans",5,"runtime_sec",30,0.0373333333333335,0.012015315896473,0.00219368651734955,0.0328467406425033,0.0418199260241636,0.0199999999999818,0.0699999999999932,0.95
"hcv","sparsified","kmeans",5,"adjusted_rand_index",30,0.0704947641939636,0.0159175862648203,0.00290614035275883,0.0645510398003032,0.0764384885876239,0.0537032489350561,0.0999984459184359,0.95
"hcv","sparsified","kmeans",5,"clustering_accuracy",30,0.363252032520325,0.0344522852715496,0.00629009793361025,0.350387337774588,0.376116727266063,0.32520325203252,0.416260162601626,0.95
