"dataset","representation","method","k","n_used","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","runtime_sec"
"hcv","sparsified","kmeans",7,615,0.0436025079925398,3.30991386821305,23.7280140894498,0.0527226812724084,0.186754401436713,0.273170731707317,0.895934959349593,0.18
"wholesale_customers","original","kmeans",2,440,0.444558836529304,1.07539473186362,186.030410570039,-0.0120562417700402,0.00866435085956683,0.529545454545455,0.718181818181818,0.0200000000000031
"wholesale_customers","original","kmeans",3,440,0.442915492046339,1.14646617147803,175.115129210211,-0.0102816059713854,0.00706686668698281,0.518181818181818,0.718181818181818,0.00999999999999801
"wholesale_customers","original","kmeans",4,440,0.450258480504985,0.976582823527318,174.404607858738,-0.00925715543169717,0.00977823159554476,0.518181818181818,0.718181818181818,0.00999999999999801
"wholesale_customers","original","kmeans",5,440,0.438555049381249,0.895514565364258,183.952399766502,-0.0259291169303087,0.0102819859594678,0.434090909090909,0.718181818181818,0.00999999999999801
"wholesale_customers","sparsified","kmeans",2,440,0.117343528449388,2.55378246908861,51.8748474489134,-0.0150155626832224,0.00567271874398988,0.518181818181818,0.718181818181818,0.0300000000000011
"wholesale_customers","sparsified","kmeans",3,440,0.110861746140904,2.63868939616371,44.1622432835413,-0.0100969302190176,0.00566381392757097,0.390909090909091,0.718181818181818,0.019999999999996
"wholesale_customers","sparsified","kmeans",4,440,0.115059574161524,2.34683025845137,41.4639366656795,-0.0122196785669103,0.00643634159489021,0.370454545454545,0.718181818181818,0.0499999999999972
"wholesale_customers","sparsified","kmeans",5,440,0.130986184656227,2.29728515884097,39.0210647493673,0.00313910437494652,0.00938406411402611,0.313636363636364,0.718181818181818,0.0499999999999972
"pen_recognition_handwritten_digits","original","kmeans",2,10992,0.230905056939697,1.77322494147129,3257.75008734948,0.126951619197423,0.343671890511633,0.206240902474527,0.206240902474527,0.43
"pen_recognition_handwritten_digits","original","kmeans",3,10992,0.224656620888939,1.57954963741212,2974.63095925565,0.218522243086241,0.42406874430604,0.299672489082969,0.299672489082969,0.75
"pen_recognition_handwritten_digits","original","kmeans",4,10992,0.252738504335031,1.49531260069988,3025.91319427361,0.317927675291355,0.517367908396326,0.383733624454148,0.383733624454148,0.969999999999999
"pen_recognition_handwritten_digits","original","kmeans",5,10992,0.251982853036398,1.33937712827097,2802.86549546187,0.36994879698867,0.570319029935301,0.48216885007278,0.48216885007278,0.969999999999999
"pen_recognition_handwritten_digits","original","kmeans",6,10992,0.268180815128618,1.2957651233667,2709.96428764342,0.414629320827136,0.594512928516728,0.538482532751092,0.538482532751092,0.939999999999998
"pen_recognition_handwritten_digits","original","kmeans",7,10992,0.281481352906296,1.31553234434279,2700.33260019994,0.456636332262485,0.627189015285782,0.594068413391557,0.594068413391557,1.22
"pen_recognition_handwritten_digits","original","kmeans",8,10992,0.282919237396502,1.29980002082976,2566.94747972098,0.446107449722247,0.626997771082425,0.602711062590975,0.602711062590975,1.32
"pen_recognition_handwritten_digits","sparsified","kmeans",2,10992,0.111883571270625,2.38993674740356,1151.88713299968,0.0678511722474711,0.301102160033118,0.202056040756914,0.202056040756914,1.47
"pen_recognition_handwritten_digits","sparsified","kmeans",3,10992,0.100447424450205,2.95411560352343,1014.69317241227,0.207884003222561,0.420041984552914,0.289028384279476,0.289028384279476,3.27999999999999
"pen_recognition_handwritten_digits","sparsified","kmeans",4,10992,0.106471376108884,2.65323751785262,966.315108753355,0.324416039648577,0.526924444081799,0.386371906841339,0.386371906841339,3.39
"pen_recognition_handwritten_digits","sparsified","kmeans",5,10992,0.123655586615745,2.45583283426174,910.534591458811,0.368407060682458,0.541630103462812,0.445414847161572,0.445414847161572,3.12
