"dataset","representation","method","k","metric","n_runs","mean","sd","se","ci_lower","ci_upper","min","max","confidence_level"
"vertebral_column_3classes","original","kmeans",3,"silhouette",30,0.295131105194198,0,0,0.295131105194198,0.295131105194198,0.295131105194198,0.295131105194198,0.95
"vertebral_column_3classes","sparsified","kmeans",3,"adjusted_rand_index",30,0.214773224181461,0,0,0.214773224181461,0.214773224181461,0.214773224181461,0.214773224181461,0.95
"vertebral_column_3classes","sparsified","kmeans",3,"clustering_accuracy",30,0.474193548387097,0,0,0.474193548387097,0.474193548387097,0.474193548387097,0.474193548387097,0.95
"vertebral_column_3classes","sparsified","kmeans",3,"purity",30,0.661290322580645,0,0,0.661290322580645,0.661290322580645,0.661290322580645,0.661290322580645,0.95
"vertebral_column_3classes","sparsified","kmeans",3,"silhouette",30,0.125255540687928,0,0,0.125255540687928,0.125255540687928,0.125255540687928,0.125255540687928,0.95
"wholesale_customers","original","kmeans",3,"adjusted_rand_index",30,-0.0102816059713854,0,0,-0.0102816059713854,-0.0102816059713854,-0.0102816059713854,-0.0102816059713854,0.95
"wholesale_customers","original","kmeans",3,"clustering_accuracy",30,0.518181818181818,0,0,0.518181818181818,0.518181818181818,0.518181818181818,0.518181818181818,0.95
"wholesale_customers","original","kmeans",3,"purity",30,0.718181818181818,0,0,0.718181818181818,0.718181818181818,0.718181818181818,0.718181818181818,0.95
"wholesale_customers","original","kmeans",3,"silhouette",30,0.442915492046339,0,0,0.442915492046339,0.442915492046339,0.442915492046339,0.442915492046339,0.95
"wholesale_customers","sparsified","kmeans",3,"adjusted_rand_index",30,-0.0100969302190176,0,0,-0.0100969302190176,-0.0100969302190176,-0.0100969302190176,-0.0100969302190176,0.95
"wholesale_customers","sparsified","kmeans",3,"clustering_accuracy",30,0.390909090909091,0,0,0.390909090909091,0.390909090909091,0.390909090909091,0.390909090909091,0.95
