"dataset","representation","method","k","run_id","fit_seed","silhouette_seed","n_used","p_used","nstart","iter_max","algorithm","silhouette_sample_n","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","total_withinss","iterations","ifault","runtime_sec"
"pen_recognition_handwritten_digits","original","kmeans",10,28,94012745,104012745,10992,16,30,100,"Hartigan-Wong",1000,0.307013844765527,1.370372970179,2378.48686131908,0.551630354878354,0.696087643375785,0.675855167394469,0.714519650655022,59627.8815902341,5,0,1.29000000000002
"pen_recognition_handwritten_digits","sparsified","kmeans",10,28,94012745,104012745,10992,59,30,100,"Hartigan-Wong",1000,0.131392939976533,2.30581397552537,651.674807174319,0.475250351692541,0.630606624187238,0.589974526928675,0.653566229985444,422713.574409295,4,0,4.71999999999997
"pen_recognition_handwritten_digits","original","kmeans",10,29,94012746,104012746,10992,16,30,100,"Hartigan-Wong",1000,0.293806123380065,1.37136243636613,2378.49650984496,0.552293341144517,0.696621593428347,0.676764919941776,0.715065502183406,59627.7217219046,4,0,1.19
"pen_recognition_handwritten_digits","sparsified","kmeans",10,29,94012746,104012746,10992,59,30,100,"Hartigan-Wong",1000,0.120985010251721,2.50857368891179,651.683672678767,0.530362223913551,0.651444063722993,0.713427947598253,0.717066957787482,422711.572402039,5,0,4.75
"pen_recognition_handwritten_digits","original","kmeans",10,30,94012747,104012747,10992,16,30,100,"Hartigan-Wong",1000,0.285988556473577,1.37138848389068,2378.48900747837,0.55258852432406,0.696891458946164,0.677401746724891,0.71561135371179,59627.8460300249,4,0,1.18000000000001
"pen_recognition_handwritten_digits","sparsified","kmeans",10,30,94012747,104012747,10992,59,30,100,"Hartigan-Wong",1000,0.115302522690189,2.30581397552537,651.674807174319,0.475250351692541,0.630606624187238,0.589974526928675,0.653566229985444,422713.574409295,5,0,4.23999999999995
"libras_movement","original","kmeans",15,1,43233218,53233218,360,90,30,100,"Hartigan-Wong",360,0.255852376348351,1.2909860970818,53.5476478394587,0.310193216051876,0.594142541146894,0.444444444444444,0.452777777777778,10182.9591005429,4,0,0.110000000000014
"libras_movement","sparsified","kmeans",15,1,43233218,53233218,360,360,30,100,"Hartigan-Wong",360,0.103598219672415,2.30688195146764,14.7287190598298,0.257017334577534,0.53314381720847,0.425,0.433333333333333,80891.9318024533,5,0,0.480000000000018
"libras_movement","original","kmeans",15,2,43233219,53233219,360,90,30,100,"Hartigan-Wong",360,0.249013193299125,1.30317185296307,52.2206496900338,0.314639144462294,0.599186894409551,0.436111111111111,0.458333333333333,10358.7612261402,4,0,0.110000000000014
"libras_movement","sparsified","kmeans",15,2,43233219,53233219,360,360,30,100,"Hartigan-Wong",360,0.113091956147661,2.16532442954888,14.6775665428992,0.283511825993316,0.555486861674429,0.436111111111111,0.455555555555556,80997.1653051274,5,0,0.449999999999989
"libras_movement","original","kmeans",15,3,43233220,53233220,360,90,30,100,"Hartigan-Wong",360,0.250600310225428,1.31270086645834,53.0498899052631,0.317620088379949,0.597545067947673,0.472222222222222,0.488888888888889,10248.1987641983,4,0,0.129999999999995
"libras_movement","sparsified","kmeans",15,3,43233220,53233220,360,360,30,100,"Hartigan-Wong",360,0.103484545821223,2.35059077048075,14.6167892588317,0.26756289844385,0.548142593165433,0.430555555555556,0.444444444444444,81122.5558314211,4,0,0.46999999999997
