"dataset","representation","method","k","run_id","fit_seed","silhouette_seed","n_used","p_used","nstart","iter_max","algorithm","silhouette_sample_n","silhouette","davies_bouldin","calinski_harabasz","adjusted_rand_index","normalized_mutual_information","clustering_accuracy","purity","total_withinss","iterations","ifault","runtime_sec"
"housing_years","original","kmeans",2,21,40092938,50092938,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,21,40092938,50092938,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,22,40092939,50092939,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,22,40092939,50092939,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,23,40092940,50092940,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,23,40092940,50092940,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,24,40092941,50092941,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,24,40092941,50092941,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0.0199999999999818
"housing_years","original","kmeans",2,25,40092942,50092942,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,25,40092942,50092942,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0.00999999999999091
"housing_years","original","kmeans",2,26,40092943,50092943,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,26,40092943,50092943,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0.0199999999999818
"housing_years","original","kmeans",2,27,40092944,50092944,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,27,40092944,50092944,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,28,40092945,50092945,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,28,40092945,50092945,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,29,40092946,50092946,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0.0100000000001046
"housing_years","sparsified","kmeans",2,29,40092946,50092946,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",2,30,40092947,50092947,27,7,30,100,"Hartigan-Wong",27,0.656544353159961,0.444667378023024,95.2243815479214,NA,NA,NA,NA,37.8459006519104,1,0,0
"housing_years","sparsified","kmeans",2,30,40092947,50092947,27,28,30,100,"Hartigan-Wong",27,0.396958974548812,0.74605184991402,11.6175797982999,NA,NA,NA,NA,497.029025409402,1,0,0
"housing_years","original","kmeans",3,1,40093018,50093018,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,1,40093018,50093018,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0
"housing_years","original","kmeans",3,2,40093019,50093019,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,2,40093019,50093019,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,3,40093020,50093020,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,3,40093020,50093020,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,4,40093021,50093021,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,4,40093021,50093021,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,5,40093022,50093022,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,5,40093022,50093022,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0.0199999999999818
"housing_years","original","kmeans",3,6,40093023,50093023,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0.0199999999999818
"housing_years","sparsified","kmeans",3,6,40093023,50093023,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0.00999999999999091
"housing_years","original","kmeans",3,7,40093024,50093024,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,7,40093024,50093024,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0
"housing_years","original","kmeans",3,8,40093025,50093025,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,8,40093025,50093025,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,9,40093026,50093026,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,9,40093026,50093026,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,10,40093027,50093027,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0.0199999999999818
"housing_years","sparsified","kmeans",3,10,40093027,50093027,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,11,40093028,50093028,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0.0199999999999818
"housing_years","sparsified","kmeans",3,11,40093028,50093028,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0
"housing_years","original","kmeans",3,12,40093029,50093029,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,12,40093029,50093029,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0
"housing_years","original","kmeans",3,13,40093030,50093030,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,13,40093030,50093030,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0
"housing_years","original","kmeans",3,14,40093031,50093031,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,14,40093031,50093031,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0.00999999999999091
"housing_years","original","kmeans",3,15,40093032,50093032,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,3,0,0
"housing_years","sparsified","kmeans",3,15,40093032,50093032,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,16,40093033,50093033,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,16,40093033,50093033,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,17,40093034,50093034,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,17,40093034,50093034,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0
"housing_years","original","kmeans",3,18,40093035,50093035,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,18,40093035,50093035,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,19,40093036,50093036,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,19,40093036,50093036,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,1,0,0
"housing_years","original","kmeans",3,20,40093037,50093037,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,3,0,0
"housing_years","sparsified","kmeans",3,20,40093037,50093037,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0.0199999999999818
"housing_years","original","kmeans",3,21,40093038,50093038,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
"housing_years","sparsified","kmeans",3,21,40093038,50093038,27,28,30,100,"Hartigan-Wong",27,0.565933695409733,0.764731602176877,18.2536910471231,NA,NA,NA,NA,288.758154712191,2,0,0.00999999999999091
"housing_years","original","kmeans",3,22,40093039,50093039,27,7,30,100,"Hartigan-Wong",27,0.601444727389597,0.492138001901209,123.505133851165,NA,NA,NA,NA,16.1174705188576,2,0,0
