"omitted_year","k","original_selected_k","sparsified_selected_k","original_selected_k_matches_full","sparsified_selected_k_matches_full","original_mean_silhouette","original_sd_silhouette","sparsified_mean_silhouette","sparsified_sd_silhouette","paired_difference_mean","paired_difference_sd","valid_paired_runs","full_original_mean_silhouette","full_sparsified_mean_silhouette","full_paired_difference_mean","original_mean_change_from_full","sparsified_mean_change_from_full","paired_difference_change_from_full"
2009,4,2,5,TRUE,FALSE,0.582798657026924,0,0.632309691382181,0,0.0495110343552569,0,30,0.576943468633088,0.675924163706872,0.098980695073784,0.00585518839383647,-0.0436144723246906,-0.0494696607185271
2009,5,2,5,TRUE,FALSE,0.534433446891642,0,0.63492942379357,0,0.100495976901928,0,30,0.545630463460236,0.658013394766086,0.112382931305851,-0.0111970165685941,-0.0230839709725167,-0.0118869544039226
2010,2,2,4,TRUE,TRUE,0.675840984134135,0,0.353235792091674,0,-0.322605192042461,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,0.0192966309741731,-0.0437231824571384,-0.0630198134313115
2010,3,2,4,TRUE,TRUE,0.63911551015644,0,0.530093239960598,0,-0.109022270195842,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,0.037670782766843,-0.0358404554491354,-0.0735112382159784
2010,4,2,4,TRUE,TRUE,0.5653451850159,0,0.647490419439456,0,0.0821452344235553,0,30,0.576943468633088,0.675924163706872,0.098980695073784,-0.0115982836171877,-0.0284337442674165,-0.0168354606502288
2010,5,2,4,TRUE,TRUE,0.548427363970514,0,0.622679813883922,0,0.0742524499134078,0,30,0.545630463460236,0.658013394766086,0.112382931305851,0.0027969005102787,-0.0353335808821641,-0.0381304813924428
2011,2,2,4,TRUE,TRUE,0.69106182423034,0,0.3496526097655,0,-0.34140921446484,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,0.0345174710703784,-0.047306364783312,-0.0818238358536904
2011,3,2,4,TRUE,TRUE,0.617178147273555,0,0.524229449095493,0,-0.0929486981780623,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,0.0157334198839582,-0.0417042463142403,-0.0574376661981985
2011,4,2,4,TRUE,TRUE,0.585471243260953,0,0.653777131469967,0,0.0683058882090141,0,30,0.576943468633088,0.675924163706872,0.098980695073784,0.00852777462786536,-0.0221470322369046,-0.03067480686477
2011,5,2,4,TRUE,TRUE,0.552029446232753,0.00377785725603315,0.596165297985417,0,0.0441358517526634,0.00377785725603315,30,0.545630463460236,0.658013394766086,0.112382931305851,0.00639898277251738,-0.0618480967806698,-0.0682470795531872
2012,2,2,4,TRUE,TRUE,0.692777211656299,0,0.347311128304007,0,-0.345466083352291,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,0.0362328584963372,-0.0496478462448048,-0.085880704741142
2012,3,2,4,TRUE,TRUE,0.604001566749507,0,0.520193973765239,0,-0.083807592984268,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,0.00255683935991047,-0.0457397216444937,-0.0482965610044042
2012,4,2,4,TRUE,TRUE,0.597423207069715,0,0.654453120308703,0,0.0570299132389885,0,30,0.576943468633088,0.675924163706872,0.098980695073784,0.0204797384366268,-0.0214710433981687,-0.0419507818347955
2012,5,2,4,TRUE,TRUE,0.568278944279971,0,0.600359524498756,0,0.0320805802187848,0,30,0.545630463460236,0.658013394766086,0.112382931305851,0.0226484808197351,-0.0576538702673307,-0.0803023510870659
2013,2,2,4,TRUE,TRUE,0.68351008152846,0,0.346402316283314,0,-0.337107765245147,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,0.0269657283684988,-0.0505566582654985,-0.0775223866339972
2013,3,2,4,TRUE,TRUE,0.590909182948826,0,0.518155620147413,0,-0.0727535628014125,0,30,0.601444727389597,0.565933695409733,-0.0355110319798638,-0.0105355444407711,-0.0477780752623198,-0.0372425308215487
2013,4,2,4,TRUE,TRUE,0.60126927480658,0,0.63963855968767,0,0.0383692848810895,0,30,0.576943468633088,0.675924163706872,0.098980695073784,0.0243258061734924,-0.0362856040192021,-0.0606114101926946
2013,5,2,4,TRUE,TRUE,0.549927093945992,0,0.630934813938446,0,0.081007719992454,0,30,0.545630463460236,0.658013394766086,0.112382931305851,0.00429663048575635,-0.0270785808276403,-0.0313752113133966
2014,2,2,5,TRUE,FALSE,0.669389961465926,0,0.346593974120947,0,-0.322795987344979,0,30,0.656544353159961,0.396958974548812,-0.259585378611149,0.0128456083059644,-0.0503650004278655,-0.0632106087338299
